"HBCx14_AC1","HBCx14_chemonaive1","HBCx14_AC2","HBCx14_chemonaive2","HBCx14_AC3","HBCx14_AC4","HBCx14_chemonaive3","HBCx14_AC5","Symbol"
643,1265,722,1258,752,871,1535,971,"REX1BD"
48,60,84,87,86,101,61,122,"CRLF1"
297,407,287,373,419,380,502,457,"OSBPL7"
776,1492,853,1638,951,1044,2072,1187,"TMEM98"
247,548,325,314,306,279,377,348,"YBX2"
2,0,0,3,1,0,0,0,"KRT33A"
315,623,377,732,461,522,972,575,"MAP3K14"
0,0,1,0,2,2,1,3,"ABCC8"
0,0,0,0,0,0,0,0,"CACNG3"
5169,10910,6545,9653,7827,8662,12126,9391,"TMEM132A"
1183,4757,1539,4989,2120,2437,5772,2209,"AP2B1"
1,1,0,3,0,5,3,8,"TAC1"
616,1160,805,1338,962,1066,1700,1194,"ZNF263"
3630,5418,4632,3778,4465,5033,4971,5006,"CX3CL1"
313,622,360,553,453,485,620,532,"SPATA20"
7,15,10,18,26,32,14,29,"CACNA1G"
1878,3749,2107,4037,2836,3310,5163,3716,"TNFRSF12A"
0,0,2,2,4,1,1,3,"DLX6"
661,2178,852,2159,964,1095,2214,1075,"MAP3K9"
834,1591,1092,1862,1388,1535,2425,1509,"RALA"
1656,4020,2076,4014,2415,2642,4967,2853,"BAIAP2L1"
381,1802,513,1639,626,739,1537,710,"KDM7A"
7,10,19,20,29,31,13,23,"ETV1"
283,680,346,612,430,480,868,493,"AGK"
182,348,203,285,208,209,388,247,"ALDH3B1"
767,1435,848,1481,1051,1240,2022,1411,"TTC22"
481,1336,638,1365,659,746,1808,810,"PHTF2"
0,0,0,0,0,0,0,0,"CCL26"
614,2509,924,2698,1150,1461,2965,1365,"FARP2"
20,65,49,50,33,25,26,47,"USH1C"
529,1047,595,1174,667,839,1496,970,"GGCT"
532,1143,612,1103,782,982,1535,1105,"DBF4"
29,21,35,45,47,30,39,51,"TBXA2R"
1035,1889,1371,2273,1637,1967,2863,2088,"IFRD1"
0,0,0,0,0,0,0,0,"LGALS14"
417,998,467,960,644,736,1352,812,"COX10"
1150,2284,1404,2037,1522,1516,2791,1751,"GTF2IRD1"
587,1106,726,1236,997,1021,1692,1275,"PAF1"
497,1323,632,1311,786,881,1723,809,"VPS41"
96,164,124,163,114,136,221,162,"ARHGAP44"
1060,2238,1169,2341,1459,1726,3181,1965,"ELAC2"
3,0,1,1,5,2,2,2,"SCIN"
530,1309,769,1334,862,857,1482,961,"ARSD"
47,181,74,186,62,103,228,89,"PNPLA4"
29,10,21,7,0,10,0,1,"MYH13"
2330,6859,3345,7469,4073,4248,9768,4714,"ADIPOR2"
7,14,15,8,16,15,11,9,"CDKL3"
0,1,1,3,1,0,1,1,"UPP2"
0,0,2,0,0,3,0,0,"PRSS21"
767,1245,872,1229,1038,1172,1624,1305,"MARK4"
3253,7789,4111,8100,5195,6431,8989,5820,"PROM1"
1544,3160,1725,3467,2243,2489,4734,2867,"CCDC124"
0,0,0,0,0,0,0,0,"CEACAM21"
1727,4435,2442,4834,3209,3514,5736,3537,"PAFAH1B1"
5,2,9,7,8,4,5,11,"NOS2"
0,0,1,0,3,2,0,2,"DNAH9"
2532,8797,3506,9634,5096,5705,11157,5098,"KIAA0100"
65,114,69,86,30,42,128,31,"SLC13A2"
27,34,42,34,58,81,44,68,"GAS7"
239,603,296,507,319,303,702,394,"TRAPPC6A"
639,1318,858,1422,899,968,2637,1184,"MATK"
0,0,0,0,0,0,0,0,"CEACAM7"
32,25,52,39,37,63,54,81,"CD79B"
6,1,4,0,4,4,3,2,"SCN4A"
325,590,422,675,453,567,760,532,"ST7L"
0,1,0,0,0,0,0,0,"TKTL1"
72,91,69,67,115,60,39,85,"PAX6"
429,856,536,857,712,738,1347,867,"RPUSD1"
2040,4311,2374,3554,2496,2727,4857,2767,"RHBDF1"
512,1149,828,1267,936,1056,1847,1117,"LUC7L"
11,20,10,17,18,22,23,21,"CACNA2D2"
40,39,45,45,54,47,70,53,"BAIAP3"
744,1472,898,1462,1095,1206,2060,1367,"TSR3"
614,1012,733,953,868,867,1103,1005,"PIGQ"
624,1218,753,1158,908,964,1597,1099,"CRAMP1"
824,1534,1036,1716,1171,1267,2100,1432,"TEAD3"
41,88,86,19,52,118,17,80,"SELE"
1707,3258,2245,3561,2743,3236,4667,3492,"DNAJC11"
2,4,7,5,5,6,5,5,"FMO3"
329,128,391,150,466,486,210,470,"MYLIP"
0,1,0,0,0,0,0,0,"NOX1"
1452,2428,1653,2378,2257,2006,3478,2660,"E2F2"
3871,9609,4757,9289,5295,6413,13103,6928,"PSMB1"
8,30,9,10,11,22,13,18,"SYN1"
647,2164,957,2368,1060,1377,2487,1211,"JARID2"
144,448,180,577,252,301,544,283,"CDKL5"
2,3,11,1,11,14,4,6,"CAMK1G"
62,119,89,96,74,90,158,115,"CDK11A"
2557,5664,3294,5644,3754,4322,7392,4576,"NADK"
1,0,0,0,0,0,2,1,"TFAP2B"
0,0,0,0,0,0,0,0,"TFAP2D"
30,81,58,107,60,55,104,46,"DLEC1"
409,1322,607,1336,684,780,1651,768,"CYTH3"
39,50,47,49,44,51,96,71,"ADAM22"
2330,5177,2776,5147,3101,3565,6147,3920,"SYPL1"
1513,3270,1617,3489,2050,2493,4262,2591,"CYB561"
449,1347,690,1608,938,1073,1788,1019,"SPAG9"
328,1124,457,1012,675,713,1290,707,"CELSR3"
19,57,32,52,40,32,48,34,"AASS"
1527,2898,1771,3122,2147,2283,3375,2431,"PLEKHG6"
244,485,346,539,377,393,642,402,"SS18L2"
356,675,420,741,477,484,949,536,"MPND"
7252,14044,8817,17299,9710,11226,20636,12259,"MGST1"
460,1212,586,1568,936,1088,1811,1089,"CRY1"
1,0,0,0,7,2,1,2,"PGLYRP1"
8882,18641,11259,17893,12134,13431,23755,14711,"NFIX"
1360,2489,1923,3090,2636,3187,2935,3481,"ST3GAL1"
469,1258,429,1330,542,613,1703,606,"MMP25"
2081,3562,2552,4219,3246,3845,5191,4261,"IL32"
