"HBCx14_AC1","HBCx14_chemonaive1","HBCx14_AC2","HBCx14_chemonaive2","HBCx14_AC3","HBCx14_AC4","HBCx14_chemonaive3","HBCx14_AC5","Symbol"
64,195,94,237,110,115,316,133,"FAM81A"
714,2246,955,2548,1579,1922,2602,2060,"MYO1E"
772,2264,1002,2454,1195,1533,2977,1411,"APPL1"
27,109,66,135,108,63,137,76,"PWWP3B"
97,188,154,212,209,250,297,248,"AFAP1L1"
290,464,378,498,522,468,553,419,"TSC22D3"
883,2900,1124,2827,1343,1553,3426,1532,"VPS26C"
1220,3060,1988,3379,2336,2589,3781,2698,"DYRK1A"
36,45,63,48,82,82,73,107,"KCNJ6"
2,6,1,1,7,11,4,12,"KCNJ15"
6,4,11,10,25,20,11,10,"ERG"
503,1662,624,1188,729,959,1725,1016,"ETS2"
218,393,293,448,329,385,453,443,"TSPAN18"
24,63,29,59,45,54,82,40,"LCA5L"
960,2388,1160,2373,1329,1364,2748,1501,"SLC35B2"
713,1715,940,1875,1052,1276,2167,1252,"TMEM164"
6214,4983,10712,3234,14005,21260,2322,18657,"MX1"
19,17,37,28,42,63,46,84,"CREB3L1"
892,2253,1270,2682,1666,1920,3280,1818,"C2CD2"
349,1821,462,1726,681,892,1826,641,"TAB3"
1387,2577,1759,2755,2326,2486,3383,2807,"SLC38A10"
30,40,25,36,41,28,33,57,"C9orf43"
1935,6282,2739,7536,4839,6110,8737,5774,"PALM2AKAP2"
1082,3488,1620,3288,1998,2726,4282,2396,"ZNF618"
0,0,7,1,3,4,1,1,"DGKI"
774,1509,1026,1431,1275,1556,1761,1577,"TMEM268"
44,81,66,60,64,63,76,66,"SVOPL"
94,176,81,155,77,113,175,87,"SNX22"
345,669,464,863,570,567,1038,535,"UBN2"
349,896,497,968,606,660,1157,623,"BRAF"
2311,3458,3152,3764,4736,7472,4124,6951,"SLC34A2"
0,4,0,1,2,0,1,2,"ACAN"
607,1194,683,1088,877,995,1622,1058,"PSMG3"
14,10,13,18,21,27,22,13,"CABP1"
287,798,432,837,458,529,1013,411,"WDR19"
601,1445,852,1625,957,1151,1787,1204,"SLC37A3"
165,634,197,521,283,229,687,298,"AP3S2"
1203,4337,1863,3828,2302,2868,5070,2657,"FMNL2"
341,805,388,839,483,544,1016,649,"GAREM2"
1336,3146,1636,3562,2009,2272,4696,2631,"SPPL3"
2,0,5,0,22,7,1,9,"DPYSL5"
3,2,1,0,3,3,0,1,"DRC1"
103,240,158,231,188,153,313,166,"RAB28"
270,730,255,672,327,390,870,408,"PRXL2B"
497,997,556,778,559,618,977,665,"TNFRSF14"
426,834,492,771,566,566,1233,676,"PANK4"
1,4,0,3,0,2,4,4,"CIB4"
7,11,1,9,7,12,20,13,"MEGF11"
188,348,239,363,326,327,538,404,"C12orf43"
1141,2200,1146,1984,1423,1585,2464,1750,"PEX10"
2870,5524,3613,6011,4238,4622,7877,5120,"RER1"
3,4,4,5,4,2,3,4,"RADIL"
3379,6985,4220,7836,5499,6490,9394,6864,"SKI"
1111,2597,1433,2619,1555,1705,3376,1945,"WIPI2"
0,0,0,0,0,0,0,0,"SSX8P"
445,1150,571,1148,672,795,1387,886,"LDLRAP1"
1927,5816,2417,5915,3132,3860,7075,3639,"AGAP1"
746,1608,818,1497,858,1012,2181,1099,"KRTCAP3"
1,9,0,8,1,3,5,2,"ANKRD61"
142,354,186,400,251,290,509,254,"PAFAH2"
4,7,0,3,9,4,11,6,"EXTL1"
313,368,329,233,284,324,383,371,"SLC30A2"
373,921,462,855,464,534,1040,581,"BABAM2"
0,1,0,1,0,0,0,0,"TRIM63"
24,66,50,57,49,51,71,46,"WDR66"
741,1928,891,1886,1058,1205,2216,1326,"MRPL17"
214,400,318,333,352,381,678,510,"DUSP2"
142,302,161,268,221,220,364,192,"GRHL3"
590,1005,621,888,641,807,1111,857,"UBXN11"
2,9,2,3,4,1,2,1,"NLRP14"
233,733,353,735,418,439,977,444,"PTPDC1"
540,1158,620,1590,883,1049,1653,1077,"GALNT14"
698,1464,983,1643,1101,1310,1530,1334,"NCK1"
2,0,1,2,3,1,2,6,"HPD"
1750,2556,1962,2485,2451,2281,3004,2558,"RHPN1"
938,2031,1239,2079,1401,1312,2258,1486,"TPRG1L"
41,87,21,53,30,41,67,34,"LRRC43"
307,859,411,956,459,495,1129,572,"PRXL2C"
46,26,49,19,85,138,26,134,"XDH"
98,190,123,230,155,163,268,174,"XKR8"
1302,3195,1665,3357,1736,2174,4426,2160,"CNNM4"
491,1268,757,1447,868,1074,2072,1002,"EYA3"
86,210,108,243,198,191,242,189,"DZIP1L"
98,208,103,209,143,122,308,170,"TMSB15A"
730,1810,909,1778,1137,1158,2279,1264,"FANCC"
1836,3075,2577,3585,3051,3683,4702,3791,"MRAS"
3362,9602,4412,9333,5063,5994,11374,5975,"WASF2"
236,567,272,667,426,435,743,451,"ABHD3"
153,310,182,458,231,241,460,298,"ESYT3"
339,618,428,825,467,554,956,586,"FAIM"
212,585,201,634,323,349,1131,439,"TENT5B"
4,0,4,5,7,5,2,6,"CLSTN2"
22,33,20,20,32,30,10,40,"COLEC12"
1304,2837,1764,2573,2007,2361,2689,2483,"RNF207"
683,2133,965,2098,1049,1238,2313,1190,"CUL4B"
321,503,298,495,536,474,541,597,"GPR153"
448,661,576,634,680,653,782,694,"SLC13A3"
50,89,70,126,61,77,141,55,"GPRASP2"
263,669,365,645,372,445,672,448,"RHBDL2"
3236,8306,3946,7579,4473,5273,9036,5510,"AUTS2"
74,169,137,250,122,120,232,110,"SHROOM4"
441,546,542,651,606,635,874,718,"H2BC5"
321,565,329,520,448,391,644,434,"CDC25C"
710,1363,1016,1619,1108,1253,2074,1386,"H4C8"
455,996,687,1248,741,892,1495,969,"MITD1"
4504,9756,5843,11297,7155,8587,13408,9329,"EIF5B"
3,16,9,9,15,12,11,9,"RIBC1"
14,17,13,25,16,17,15,14,"TMSB15B"
2,0,2,1,0,1,2,1,"CATIP"
1533,3538,1797,3652,2219,2567,4751,2900,"CNOT11"
12,5,17,12,22,10,13,22,"KCNB1"
648,1106,792,1001,780,837,1335,1017,"TSPAN33"
214,452,250,407,315,356,274,389,"NRG2"
261,608,362,823,489,504,921,524,"AHCYL2"
4870,7534,6287,8612,8132,9563,10856,9555,"B4GALT5"
0,0,0,0,0,0,1,0,"CD1D"
0,0,0,0,0,0,0,0,"CD1A"
624,1004,792,1060,916,1060,1642,1214,"SPATA2"
0,0,0,0,0,0,0,0,"CD1C"
1,1,3,6,2,4,7,3,"SNX29P1"
256,493,350,492,450,529,698,527,"FAM86C1"
0,0,0,0,0,0,0,0,"CD1B"
84,161,115,183,134,157,137,111,"DNAH3"
0,0,0,0,0,0,0,0,"CD1E"
0,0,0,0,0,0,0,0,"HMHB1"
7,5,8,2,9,13,4,9,"CPA2"
1,12,6,15,2,8,2,16,"NCF1"
2,1,4,2,4,4,3,4,"CPA5"
539,1033,690,1123,843,945,1477,1047,"TSR2"
531,1265,768,1337,747,849,1531,869,"PPP1R9A"
1370,2536,1654,2612,2185,2431,3657,2723,"ZC3H18"
523,1199,635,1202,755,754,1467,853,"ZFAND2B"
4,15,5,14,20,10,17,14,"POM121L2"
565,1586,675,1255,774,740,1056,794,"GDPD5"
12,27,13,18,23,20,20,24,"DYNC1I1"
4,14,20,10,44,13,10,23,"PFKFB1"
1,1,0,1,1,2,0,0,"ALAS2"
918,2086,1133,2106,1388,1435,2644,1631,"TMED4"
1365,3592,1951,3673,2504,2903,4623,3021,"PPP1R15B"
873,2223,1004,2024,1214,1292,2336,1272,"COPG2"
310,737,532,913,577,636,1090,648,"EMSY"
0,0,0,0,0,0,0,0,"PAGE5"
1220,2799,1524,3195,1837,2192,3890,2313,"GPAT4"
8,6,10,11,8,11,9,15,"PKD1L1"
81,205,119,189,129,152,202,157,"ZSCAN12"
12708,30484,15391,32089,18953,21623,40301,24590,"TAGLN2"
719,1870,1145,2354,1455,1764,2521,1600,"ELK4"
0,1,1,4,0,3,2,1,"SLAMF8"
382,524,381,666,469,548,1040,621,"SLC45A3"
308,614,328,653,345,402,779,514,"DUSP23"
222,383,282,425,309,360,560,409,"RNF166"
0,0,0,0,0,0,0,0,"OR10J6P"
954,2113,1166,2446,1516,1563,2593,1789,"NBL1"
7,40,15,26,14,22,41,16,"HTR6"
0,0,3,3,1,3,0,2,"ITLN2"
2886,5777,3652,6112,3989,4346,7361,4979,"F11R"
793,1388,1120,1435,1206,1352,1913,1506,"USF1"
0,0,0,0,0,0,0,1,"PLA2G2F"
160,305,208,349,198,199,382,233,"SPATA2L"
480,959,591,881,666,631,1149,697,"NIT1"
900,1870,1081,1925,1310,1440,2266,1638,"DEDD"
1084,1976,1336,1961,1484,1672,2740,1953,"ZNF276"
148,294,174,375,197,236,469,209,"NPM2"
24,82,42,78,53,44,67,61,"EDA"
63,141,73,115,72,91,176,116,"FGF17"
0,0,0,0,0,0,0,0,"VWA5B1"
51,96,76,107,93,84,90,85,"CDA"
365,612,359,695,467,473,813,539,"PINK1"
1459,2843,1965,3306,2205,2468,4185,2645,"B4GALT3"
1031,2579,1250,2440,1505,1625,2764,1715,"DMTN"
119,68,205,57,328,461,89,551,"ADAMTS4"
1598,2830,1966,2770,2247,2449,3612,2766,"FAM160B2"
1803,3931,2425,4021,2777,2976,5150,3130,"NDUFS2"
0,1,2,0,1,2,2,4,"SLC5A11"
3,8,3,5,2,3,5,2,"FCER1G"
0,1,0,0,0,0,0,0,"APOA2"
549,956,779,1188,929,930,1337,1044,"TOMM40L"
1,0,6,2,6,12,2,13,"MPZ"
0,0,0,1,2,0,0,0,"WFDC8"
1744,3874,2252,3744,2635,2809,5012,3177,"CCAR2"
0,0,0,0,0,0,0,0,"WNT9B"
558,999,797,1154,1012,977,1632,1099,"CACHD1"
231,606,318,710,309,423,839,428,"CDC42SE2"
55,144,81,144,77,98,180,96,"RAPGEF6"
1730,6910,2722,7066,3378,4005,8950,3757,"EPB41"
516,735,552,723,748,747,1084,856,"MIS18A"
403,754,538,795,652,784,1097,858,"ALG8"
3368,7471,3800,7100,4508,4993,8601,5380,"FBXW5"
127,314,173,309,175,222,390,243,"CFAP298"
191,473,297,609,363,394,685,356,"SYNJ1"
945,2417,1366,2505,1539,1892,3193,1861,"PAXBP1"
697,1257,860,1376,972,1117,1488,1300,"IFNAR2"
386,755,437,697,496,569,877,591,"MRPL10"
389,894,528,877,641,819,1084,937,"IFNGR2"
1805,4544,2418,4903,2913,3337,6079,3702,"GART"
4093,10024,5921,11231,8171,9609,12825,8565,"SON"
618,1772,827,1625,859,946,2026,1083,"DONSON"
132,269,144,177,172,164,238,209,"SV2A"
2237,4369,2662,5047,3497,3964,6425,4373,"LAD1"
42,516,62,237,69,85,296,84,"STC1"
1,6,0,1,2,1,2,0,"TNNI1"
3018,5161,3658,6653,4940,5472,8875,6021,"CSRP1"
0,1,0,0,0,0,0,0,"PRAC1"
74,237,131,196,134,140,230,128,"HOXB13"
0,0,0,0,0,0,0,0,"ATP5POP1"
0,0,0,0,0,0,0,0,"C1QC"
2,2,4,2,3,3,2,3,"KCNE2"
285,645,371,667,393,430,815,532,"ATP5MC1"
5176,11981,6465,11116,6408,7631,14122,8034,"RCAN1"
1069,2150,1514,2460,1885,2246,2747,2214,"UBE2Z"
66,149,107,177,136,116,202,161,"CIART"
325,589,409,606,436,517,726,565,"SNF8"
498,937,572,894,660,820,957,905,"CLIC6"
224,497,284,470,226,214,540,253,"CCDC24"
1289,3326,1803,3414,3063,3510,3964,3548,"RUNX1"
5,3,11,13,24,15,9,13,"IGF2BP1"
0,0,0,0,0,0,0,0,"GIP"
243,525,284,524,334,389,661,415,"CBR1"
363,853,409,670,576,560,872,675,"CBR3"
0,2,1,0,0,1,3,0,"AC005041.1"
541,1648,636,1514,652,793,1852,900,"TUBBP5"
0,0,0,0,0,0,0,0,"GJD2"
17,2,7,1,1,2,0,4,"ACTC1"
576,1741,851,1797,1041,1184,2138,1021,"MORC3"
648,1744,763,1514,781,991,1791,985,"CHAF1B"
0,1,1,1,2,2,2,0,"CLDN14"
684,1892,906,1953,1077,1238,2379,1194,"SIM2"
901,2706,1203,2737,1383,1697,3084,1510,"HLCS"
0,0,1,0,1,0,0,0,"GOLGA6A"
1,0,1,1,3,5,1,4,"SCUBE1"
444,984,553,808,628,783,1254,756,"ARHGAP27"
873,1750,1127,1803,1444,1622,2364,1597,"ADPGK"
8282,17649,10462,21417,13560,15068,30162,17097,"PTMS"
2,2,3,3,0,5,3,5,"PLA2G4D"
0,0,0,0,0,0,0,3,"PADI4"
2466,5954,3406,6011,3849,4332,7480,4584,"ADIPOR1"
563,1166,705,1081,750,779,1294,937,"CYB5R1"
2215,4246,2683,4527,3185,3411,6212,3939,"PSMD4"
639,924,802,1143,927,1146,1314,1224,"ATP13A2"
1,0,0,0,0,2,0,0,"M1AP"
3340,7504,4102,6981,4654,5266,9118,6318,"PSMB4"
353,250,405,329,591,550,543,629,"IRX6"
460,667,632,806,688,630,930,862,"BTG2"
1,0,0,1,0,0,0,1,"CES5A"
870,4855,1137,3763,1484,1640,4631,1813,"HK2"
885,1342,1667,876,1812,2833,935,2617,"C1R"
0,1,1,4,1,2,3,4,"CELF3"
434,834,520,997,665,678,1527,705,"ALDH4A1"
121,611,140,515,216,230,595,197,"STARD9"
319,1017,454,894,469,587,1028,624,"THEM4"
22,26,25,25,36,22,17,32,"TCHH"
0,0,0,0,0,0,0,0,"LCE2B"
202,618,306,659,402,461,692,415,"UBR1"
1065,2518,1385,2456,1682,1673,2995,1812,"AMFR"
575,1274,734,1240,921,1045,1546,1139,"MED8"
0,2,0,0,2,2,0,3,"TGM7"
3,5,2,2,1,1,3,3,"RGL4"
0,0,0,0,0,1,0,0,"SPRR2G"
6,10,2,2,2,12,0,10,"PGLYRP3"
52,40,34,77,76,61,141,127,"ISL2"
783,1675,1054,1839,1311,1404,2157,1487,"RSPRY1"
32,38,26,28,37,31,42,31,"CCDC17"
2777,6501,3694,6771,4109,4555,8272,4859,"GPBP1L1"
1216,3290,1599,3103,1837,2187,3890,2301,"NAE1"
506,1131,673,1051,670,798,1163,925,"TMEM69"
0,0,0,0,4,2,1,1,"ADGRG5"
18,1,16,7,16,9,17,15,"DRC7"
73,213,89,178,130,110,171,119,"ACE"
0,0,0,0,1,0,0,0,"TEPP"
0,8,1,4,1,0,1,5,"UROC1"
1275,4216,1939,4391,2396,2675,4667,2635,"EFCAB14"
57,44,63,152,99,72,49,117,"SPON2"
77,244,112,229,143,147,357,180,"CHCHD6"
1067,2399,1422,2448,1692,1860,3079,2088,"CTBP1"
6,9,2,4,7,1,4,5,"LRRC36"
11,46,26,40,23,40,54,36,"ANKRD18CP"
44,76,71,130,97,87,152,99,"TPPP3"
301,667,318,576,379,400,696,497,"ZDHHC1"
1062,1898,1179,2010,1490,1559,2663,1831,"ATP6V0D1"
0,2,0,1,0,0,1,0,"AGRP"
191,304,196,283,211,230,343,285,"ZFYVE28"
2002,2534,2470,2508,3167,3186,3527,3831,"CARMIL2"
28,60,31,45,23,25,70,21,"C16orf86"
1,3,1,2,1,2,0,1,"PIP"
5,2,3,9,4,4,6,5,"FAM131B"
300,728,372,731,499,518,902,566,"RGS12"
870,1878,1071,1815,1262,1387,2510,1495,"PSKH1"
2909,5953,3615,6031,4333,5012,8764,5566,"ZYX"
398,966,591,1225,828,821,1256,815,"ABR"
2,0,0,1,0,0,0,0,"TCAF2P1"
34,113,54,76,51,52,87,38,"LYPD5"
443,1257,664,1382,609,829,1805,859,"CCDC117"
53,140,71,155,82,105,187,97,"ZNF230"
192,588,222,445,235,267,603,284,"CCDC107"
29,60,53,83,63,92,73,77,"ZNF222"
107,244,232,296,252,267,322,247,"NPR2"
4,8,5,6,5,2,6,4,"ZNF890P"
6,27,11,41,19,10,47,12,"ZNF221"
52,97,50,88,38,38,141,40,"ZNF233"
55,119,63,127,78,69,149,66,"ZNF235"
13,18,28,25,35,24,20,37,"GNE"
266,477,318,334,349,402,436,474,"TNFRSF13C"
0,0,0,0,0,0,0,0,"OR3A3"
1298,4118,1725,3894,2276,2460,5114,2491,"ARHGAP35"
5,5,5,2,12,17,1,7,"PTGIR"
3045,7594,3621,8410,4611,5290,10178,5747,"CALM3"
626,1576,942,1710,1096,1160,2151,1276,"DFFA"
124,195,148,209,175,216,327,243,"CCDC28B"
119,288,143,243,137,156,313,212,"IQCC"
196,389,252,333,288,303,386,322,"TMEM234"
1824,4265,2585,4384,3015,3258,5836,3467,"BSDC1"
165,514,240,550,230,305,654,317,"ZBTB8A"
3152,5561,3846,5291,4516,5098,7424,5862,"ATAD3B"
3654,7351,4573,7628,5002,5987,10042,6774,"SSU72"
1264,2451,1575,2453,1826,2062,3350,2212,"UBE2J2"
1145,2330,1412,2199,1640,1766,2653,1922,"ZNF362"
12,35,21,27,31,25,34,31,"FNDC5"
6179,11514,7257,10690,7632,8957,14225,9285,"CPAMD8"
3007,6881,3635,6795,4450,4361,9488,5154,"NR2F6"
461,581,541,677,830,842,998,1093,"ANKLE1"
217,364,308,414,360,368,554,402,"CCDC58"
1713,4277,2266,4500,2588,2985,5539,3307,"VMA21"
201,411,232,511,402,379,504,451,"KALRN"
137,129,210,147,279,229,173,275,"CILP2"
100,173,129,220,165,169,250,201,"FAM86C2P"
39,6,68,8,88,106,4,79,"ABCG1"
0,1,1,0,2,1,0,0,"TFF3"
5,9,11,20,13,7,3,13,"TFF2"
0,0,2,0,1,0,0,2,"TFF1"
1219,2362,1445,1987,1625,1791,1943,1608,"TMPRSS3"
5,10,11,7,17,14,6,11,"UBASH3A"
85,200,127,171,103,130,222,125,"RSPH1"
1402,3291,1637,2892,1895,2074,3371,2093,"SLC37A1"
540,1020,644,1060,745,868,1137,870,"PDE9A"
360,920,519,1009,623,860,1295,828,"WDR4"
553,1172,644,1144,795,958,1635,1107,"NDUFV3"
246,609,342,707,467,585,788,593,"PKNOX1"
113,380,153,289,191,187,420,208,"CBS"
56,200,98,196,123,120,244,155,"U2AF1"
0,0,2,0,0,0,0,0,"CRYAA"
12,29,17,28,16,22,32,18,"HSF2BP"
1799,4564,2494,4658,3383,4206,6252,4353,"RRP1B"
3059,6505,4051,6389,4747,6423,6809,6296,"PDXK"
1264,2963,1593,2934,1795,2007,4134,2334,"G6PD"
2263,6952,2997,5810,3138,4407,6032,4438,"CSTB"
1250,2298,1470,2279,1807,2191,2820,2508,"RRP1"
2130,4875,2873,5446,3393,3907,6305,4120,"AGPAT3"
455,1825,809,1970,1142,1482,2307,1156,"TRAPPC10"
0,1,2,3,7,3,1,0,"GAB3"
10,15,12,12,11,17,19,18,"GATD3A"
292,368,376,394,388,610,563,597,"ICOSLG"
1,11,5,9,7,9,8,9,"AIRE"
164,604,220,446,227,264,518,273,"CFAP410"
1,0,0,0,0,0,0,0,"ZNF66"
285,683,310,694,464,527,744,465,"LRRC3"
105,84,134,58,159,209,88,218,"ITGB2"
692,1198,882,1285,1160,1336,1560,1462,"FAM207A"
471,1099,569,888,731,770,1343,804,"RALGDS"
133,212,133,162,184,188,212,186,"FTCD"
98,220,118,206,144,122,277,191,"SPATC1L"
729,3641,950,3826,1230,1360,5442,1351,"LSS"
2275,5799,2823,5703,3857,4560,7258,4774,"VAV2"
1442,5065,2057,4931,2659,3124,5902,2990,"MCM3AP"
643,1161,762,948,929,1037,1345,1105,"C21orf58"
1562,4645,2249,4687,3013,3487,5877,3168,"PCNT"
956,3592,1538,3697,1818,2098,4206,1943,"DIP2A"
802,2367,1100,1462,855,950,1183,848,"S100B"
2641,6806,3326,6950,3606,4093,8406,4278,"PRMT2"
4,19,12,17,7,11,9,6,"CLDND2"
3,3,0,1,2,0,1,0,"ZNF208"
690,1243,820,996,835,915,1133,950,"ADAMTS13"
507,1139,610,1072,670,664,1259,787,"CACFD1"
501,1171,645,1241,953,1011,1719,1179,"SLC2A6"
479,932,654,1111,893,1056,1284,962,"ZNF761"
5,47,8,23,5,8,32,6,"FCN2"
94,161,114,176,92,121,198,127,"C9orf116"
0,0,0,0,0,0,0,0,"LCN1"
716,1675,1082,1869,1428,1634,2110,1562,"ZNF714"
1648,2999,1968,3178,2692,2431,3787,3185,"GPSM1"
207,505,240,494,307,380,577,404,"C19orf47"
1,9,2,6,2,12,5,9,"HIPK4"
25,31,30,14,22,33,34,30,"CFAP157"
253,487,301,561,356,328,619,406,"TOR2A"
12,15,13,15,22,16,29,16,"ST6GALNAC6"
900,2068,1044,2035,1221,1297,2658,1512,"SHKBP1"
39,48,48,81,77,58,63,55,"RDH13"
1479,3016,1812,2829,1997,2123,3585,2285,"ZER1"
745,1724,862,1669,899,991,2113,1017,"ZDHHC12"
612,1060,707,982,884,891,1296,1088,"PKN3"
18,41,27,29,35,40,26,30,"SPTBN4"
143,287,179,233,167,227,308,249,"BRSK1"
5,5,22,4,21,15,3,20,"COX6B2"
0,0,0,1,0,0,0,0,"TMEM190"
0,0,0,0,0,0,0,0,"NLRP4"
2,0,4,5,4,1,4,11,"PLPP7"
867,2472,1378,2880,1550,1859,3192,1827,"TAOK1"
417,804,520,898,613,791,1174,857,"MED27"
240,551,296,590,313,318,696,385,"DEDD2"
683,1637,1008,2077,1292,1559,2133,1648,"SIK3"
514,1060,603,1326,705,768,1464,836,"MPZL3"
2,0,0,7,3,2,1,0,"JAML"
143,384,194,270,171,210,369,231,"NEK8"
149,292,213,315,212,264,318,287,"TLCD1"
1208,2497,1561,2793,1918,2186,3036,2336,"PCSK7"
2038,4122,2712,4382,3046,3637,6271,3974,"SAFB"
0,0,0,0,0,0,1,1,"CD3G"
2564,7257,3526,5268,3308,3759,4328,3944,"S100A1"
2008,4044,2618,4053,3199,3879,5410,4100,"CHTOP"
11,12,7,12,11,9,14,7,"CXCR5"
2392,4260,3146,4407,3522,3367,5546,3691,"ZBTB7B"
1784,2963,2194,3037,2671,2929,3940,3409,"FLAD1"
1475,3257,1735,3242,2097,2456,4071,2638,"SHC1"
465,886,638,979,871,825,1116,878,"VPS11"
368,993,417,919,513,556,965,565,"NLRX1"
7678,19894,12627,19745,17905,22912,21591,20306,"ADAR"
109,276,173,338,303,431,476,445,"IL6R"
2084,3750,2869,4132,3500,3860,5372,4187,"UBE2Q1"
6,16,5,14,12,9,16,20,"CHRNB2"
1506,2811,1918,3045,2121,2600,4020,2767,"CRTC2"
393,1033,434,990,534,567,1215,662,"ANO10"
2647,13087,3095,13661,3459,4093,18848,4344,"FDPS"
1437,3310,1765,3637,2131,2186,4606,2561,"RUSC1"
85,82,135,99,182,140,136,163,"GBAP1"
769,1907,955,2000,1048,1264,2870,1399,"FAM189B"
299,887,359,641,286,415,890,387,"PAQR6"
325,802,374,763,447,546,937,595,"PMF1"
925,2097,1155,2164,1348,1690,2674,1819,"SLC25A44"
11591,25407,13624,26345,16129,18767,33817,21730,"LMNA"
0,3,2,0,7,7,0,1,"CCR5"
4429,11730,5502,10318,5692,5865,13672,6268,"NBEAL2"
339,671,394,646,438,503,885,601,"CCDC12"
10,6,15,3,16,9,7,13,"PTH1R"
2413,5423,3140,5856,3855,4383,7497,4660,"UBQLN4"
8,5,11,3,5,5,6,8,"MYL3"
480,1118,534,911,535,579,1406,680,"PPP1R35"
892,1477,1126,1676,1457,1900,2151,2087,"GPATCH4"
0,1,1,0,3,0,4,4,"LRRC71"
0,0,0,0,0,0,0,0,"FCRL3"
8418,20266,10268,19511,12571,12188,22803,14929,"AZGP1"
263,448,319,491,411,499,695,551,"FGFR4"
0,2,0,0,0,0,0,0,"CYP3A4"
0,0,0,0,0,1,0,0,"CYP3A7"
3472,6765,4130,7295,5293,6019,9990,6760,"NACC1"
1,0,0,0,0,0,0,0,"CYP11B1"
6,3,7,3,7,17,1,16,"HK3"
246,483,324,599,453,406,657,510,"LY6K"
2194,4673,2866,4087,2976,3607,6322,4244,"IER2"
544,1036,671,989,799,886,1163,992,"ZNF394"
703,1321,864,1312,948,1095,1964,1213,"CPSF4"
531,496,766,475,756,1264,397,1224,"LY6E"
636,1479,710,1506,790,874,1907,1079,"VPS28"
1380,1781,1626,1841,2063,2060,2651,2538,"TONSL"
19,48,34,28,42,38,33,44,"PTGER1"
1057,2633,1337,2517,1639,1804,3149,1777,"PWWP3A"
676,845,842,823,1160,1052,1163,1236,"RECQL4"
801,1229,876,1170,938,944,1566,1124,"LRRC14"
464,1288,744,1380,871,1045,1575,1015,"ZNF333"
4,0,1,2,1,5,3,4,"COL26A1"
1215,2398,1445,2326,1685,1679,2778,2042,"PPP1R16A"
12,21,12,13,10,9,12,14,"FOXH1"
1060,2337,1208,2187,1668,1510,2706,1731,"ORAI2"
262,559,306,495,354,331,688,389,"ALKBH4"
0,0,0,0,0,0,2,0,"CCDC105"
336,538,390,586,516,475,746,650,"SH2B2"
463,811,570,847,650,661,1151,753,"MRNIP"
6550,12145,9059,12517,10669,11955,15464,13539,"SQSTM1"
4371,9620,4954,9534,5642,5922,12037,6498,"MGAT4B"
5835,14472,6447,15688,7632,8528,19688,9897,"RPL8"
1555,4148,2192,4307,2643,3192,5810,3261,"MAML1"
1,1,3,0,1,5,1,2,"PGLYRP2"
591,1162,746,1183,908,1063,1677,1210,"LRWD1"
301,490,398,557,542,508,787,529,"FBXL13"
24,138,44,134,87,116,153,71,"NAPEPLD"
705,549,685,426,631,394,1078,617,"SCGB3A1"
1770,3654,1959,3486,2418,2896,4802,3047,"PSMC2"
106,175,110,196,135,142,223,155,"CELF5"
2132,4460,2605,5146,3493,3908,6059,4344,"MFSD12"
0,0,0,0,0,0,1,0,"AC008132.1"
6,8,1,3,7,7,3,2,"AC007663.1"
3,3,0,2,0,6,3,2,"USP41"
2,2,6,2,3,1,3,4,"TUBA3FP"
511,1001,602,1023,716,819,1324,990,"YDJC"
5,6,5,7,3,8,13,7,"CCDC116"
4277,10780,5409,9927,6753,7370,13412,7762,"DVL3"
5249,11738,6499,11915,8645,8794,16237,10094,"AP2M1"
1195,2621,1559,2399,1666,1868,3310,2099,"ABCF3"
2105,6306,2863,6902,3518,4041,8073,4053,"PCYT1A"
129,276,141,232,159,129,275,150,"FBXO27"
1167,3253,1263,3450,1593,1792,4392,1947,"DMKN"
44,132,85,135,72,97,178,100,"U2AF1L4"
521,1294,700,1304,595,702,1859,770,"BDH1"
2,0,9,1,9,5,2,8,"NPHS1"
93,292,106,254,131,149,302,141,"THAP8"
0,0,0,0,0,1,0,0,"COX7A1"
205,442,251,552,268,281,651,302,"ZNF382"
463,665,553,616,635,584,739,756,"LRRC56"
6,7,24,6,14,30,8,23,"PLXDC1"
276,1066,342,793,413,403,861,526,"PGAP3"
69,51,99,76,112,128,78,133,"IKZF3"
7,19,7,6,5,11,10,11,"GRIN2C"
112,258,172,226,182,165,319,217,"FDXR"
838,1551,1094,1606,1312,1467,2086,1689,"SAP30BP"
574,1132,777,1196,901,991,1474,1137,"ACOX1"
504,1042,588,1164,817,767,1415,882,"PRPSAP1"
78,38,153,56,167,144,80,134,"CYGB"
3742,7429,5075,8102,5649,6539,10216,7429,"SRSF2"
142,352,183,343,196,209,398,244,"ZNF577"
59,160,67,134,102,91,151,91,"TMEM143"
2,6,3,6,1,1,6,1,"KLHL10"
0,0,1,0,0,1,0,1,"CCDC155"
0,0,0,0,0,0,0,1,"HCRT"
433,642,505,597,625,576,866,717,"ALDH16A1"
0,0,0,0,0,0,0,0,"DCD"
261,586,313,555,546,839,636,774,"ITGA5"
0,0,1,0,0,1,0,0,"SIGLEC11"
694,1001,842,1052,1258,1413,1248,1387,"ZNF385A"
0,0,0,1,0,1,0,0,"SIGLEC16"
206,505,300,546,325,382,632,407,"MPP3"
0,0,0,0,0,0,0,0,"CD300LG"
0,1,2,0,4,4,0,2,"IZUMO2"
115,214,133,225,161,148,334,192,"NAGS"
