"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
1127,1974,2168,1171,1579,1495,1563,2690,"GDE1"
772,1265,1258,668,1002,900,962,1535,"REX1BD"
52,60,87,61,96,68,90,61,"CRLF1"
332,407,373,310,442,393,472,502,"OSBPL7"
961,1492,1638,770,1184,1197,1200,2072,"TMEM98"
309,548,314,274,413,389,401,377,"YBX2"
1,0,3,0,0,0,2,0,"KRT33A"
368,623,732,386,547,500,498,972,"MAP3K14"
1,0,0,0,3,1,1,1,"ABCC8"
0,0,0,0,0,0,0,0,"CACNG3"
7180,10910,9653,5459,10877,8187,8062,12126,"TMEM132A"
1773,4757,4989,1249,2384,2430,1912,5772,"AP2B1"
2,1,3,0,3,0,2,3,"TAC1"
872,1160,1338,812,1188,1036,1025,1700,"ZNF263"
4094,5418,3778,3781,4920,5797,5867,4971,"CX3CL1"
402,622,553,340,551,503,537,620,"SPATA20"
22,15,18,17,48,26,25,14,"CACNA1G"
2447,3749,4037,1995,3365,2808,2923,5163,"TNFRSF12A"
4,0,2,3,4,3,7,1,"DLX6"
861,2178,2159,680,1075,1020,917,2214,"MAP3K9"
1149,1591,1862,1039,1617,1448,1328,2425,"RALA"
2204,4020,4014,1937,3231,2879,2648,4967,"BAIAP2L1"
503,1802,1639,497,627,593,599,1537,"KDM7A"
12,10,20,19,16,23,21,13,"ETV1"
399,680,612,345,567,522,449,868,"AGK"
186,348,285,179,217,256,243,388,"ALDH3B1"
1028,1435,1481,807,1305,1148,1086,2022,"TTC22"
678,1336,1365,659,838,879,812,1808,"PHTF2"
1,0,0,0,1,0,0,0,"CCL26"
1115,2509,2698,815,1364,1234,1040,2965,"FARP2"
26,65,50,22,32,25,60,26,"USH1C"
664,1047,1174,677,964,939,1031,1496,"GGCT"
822,1143,1103,716,1109,973,909,1535,"DBF4"
34,21,45,22,40,28,24,39,"TBXA2R"
1546,1889,2273,1416,2055,1884,1838,2863,"IFRD1"
0,0,0,0,0,0,0,0,"LGALS14"
569,998,960,491,789,709,658,1352,"COX10"
1366,2284,2037,1382,1820,1743,1655,2791,"GTF2IRD1"
882,1106,1236,791,1237,1044,1081,1692,"PAF1"
704,1323,1311,597,947,858,722,1723,"VPS41"
134,164,163,77,152,111,148,221,"ARHGAP44"
1394,2238,2341,1281,1778,1719,1723,3181,"ELAC2"
5,0,1,2,1,2,6,2,"SCIN"
820,1309,1334,586,984,928,758,1482,"ARSD"
70,181,186,71,86,118,124,228,"PNPLA4"
0,10,7,1,7,0,356,0,"MYH13"
3627,6859,7469,3279,4905,4146,4167,9768,"ADIPOR2"
9,14,8,8,9,8,8,11,"CDKL3"
1,1,3,1,1,1,0,1,"UPP2"
0,0,0,0,0,0,0,0,"PRSS21"
912,1245,1229,1097,1243,1291,1396,1624,"MARK4"
4842,7789,8100,3925,7076,5927,4802,8989,"PROM1"
1851,3160,3467,1986,2818,2427,2527,4734,"CCDC124"
0,0,0,0,0,0,0,0,"CEACAM21"
2606,4435,4834,2699,3521,3425,3117,5736,"PAFAH1B1"
9,2,7,3,15,9,6,5,"NOS2"
2,0,0,0,0,0,1,0,"DNAH9"
4218,8797,9634,3424,5012,4801,4178,11157,"KIAA0100"
21,114,86,33,39,38,41,128,"SLC13A2"
45,34,34,33,59,52,50,44,"GAS7"
302,603,507,258,414,365,445,702,"TRAPPC6A"
901,1318,1422,714,1076,1132,1122,2637,"MATK"
1,0,0,0,0,0,2,0,"CEACAM7"
31,25,39,40,54,48,36,54,"CD79B"
1,1,0,2,4,2,19,3,"SCN4A"
481,590,675,333,570,528,525,760,"ST7L"
0,1,0,0,0,0,1,0,"TKTL1"
66,91,67,85,93,124,112,39,"PAX6"
598,856,857,572,829,770,780,1347,"RPUSD1"
2201,4311,3554,2030,2663,2879,3187,4857,"RHBDF1"
826,1149,1267,810,1224,1102,1196,1847,"LUC7L"
16,20,17,8,16,12,14,23,"CACNA2D2"
39,39,45,27,49,46,55,70,"BAIAP3"
912,1472,1462,875,1399,1281,1339,2060,"TSR3"
852,1012,953,740,1100,1039,1143,1103,"PIGQ"
830,1218,1158,790,1127,984,995,1597,"CRAMP1"
1034,1534,1716,1083,1527,1341,1339,2100,"TEAD3"
93,88,19,41,140,91,29,17,"SELE"
2503,3258,3561,2256,3243,3337,2951,4667,"DNAJC11"
4,4,5,3,7,2,8,5,"FMO3"
373,128,150,363,463,518,522,210,"MYLIP"
0,1,0,0,0,0,0,0,"NOX1"
2130,2428,2378,2229,3190,2806,3123,3478,"E2F2"
5044,9609,9289,4715,6781,6947,7164,13103,"PSMB1"
20,30,10,6,19,22,21,13,"SYN1"
908,2164,2368,967,1176,1219,1153,2487,"JARID2"
264,448,577,179,340,258,232,544,"CDKL5"
14,3,1,10,18,11,6,4,"CAMK1G"
75,119,96,69,142,85,121,158,"CDK11A"
3619,5664,5644,3261,4816,4343,4564,7392,"NADK"
3,0,0,1,2,4,1,2,"TFAP2B"
0,0,0,0,1,0,0,0,"TFAP2D"
60,81,107,33,59,66,55,104,"DLEC1"
637,1322,1336,491,893,686,614,1651,"CYTH3"
58,50,49,26,61,60,49,96,"ADAM22"
3023,5177,5147,2782,3932,3564,3356,6147,"SYPL1"
1968,3270,3489,1438,2611,2241,2292,4262,"CYB561"
807,1347,1608,652,1006,862,827,1788,"SPAG9"
589,1124,1012,440,791,636,577,1290,"CELSR3"
19,57,52,18,31,38,16,48,"AASS"
1967,2898,3122,1499,2625,2431,2181,3375,"PLEKHG6"
315,485,539,291,443,417,471,642,"SS18L2"
429,675,741,460,618,620,660,949,"MPND"
8927,14044,17299,7731,11567,11483,11573,20636,"MGST1"
776,1212,1568,610,1004,810,793,1811,"CRY1"
0,0,0,0,3,3,2,1,"PGLYRP1"
11803,18641,17893,12378,16048,16963,16896,23755,"NFIX"
2349,2489,3090,1897,3871,2556,2032,2935,"ST3GAL1"
468,1258,1330,505,543,563,606,1703,"MMP25"
3192,3562,4219,2331,4657,3853,3327,5191,"IL32"
