"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
138,92,135,198,194,164,172,97,"ULBP1"
1100,1443,1691,991,1481,1410,1347,1870,"FBXO5"
411,628,765,362,560,520,453,947,"MTRF1L"
996,1463,1530,798,1612,1363,1172,1813,"PPARD"
0,1,0,0,1,0,0,0,"OPRM1"
310,416,404,264,429,336,378,571,"FANCE"
7,1,2,2,3,2,0,3,"TULP1"
9,30,22,12,17,17,20,29,"SLC26A8"
993,2108,2186,1019,1498,1362,1221,2894,"MAPK14"
1,0,0,0,0,0,0,0,"RHAG"
1028,2648,2673,817,1345,1251,1030,3020,"KCTD20"
2403,2888,3641,2022,3149,2846,2679,4116,"STK38"
5547,8872,10145,5093,6930,7029,6935,11935,"SRSF3"
12102,9434,8577,5261,26838,9830,5336,8593,"SOD2"
1975,2463,3053,1663,2867,2267,2364,3973,"MRPL18"
0,0,0,0,0,0,0,0,"IL17A"
0,0,0,0,0,0,0,0,"IL17F"
3145,5432,5220,2908,4143,3794,3724,7114,"MCM3"
427,690,937,403,581,501,563,1142,"RNF8"
4,1,2,10,4,13,3,5,"PHACTR1"
20,10,17,23,45,35,41,29,"MDGA1"
834,2051,2023,715,969,1018,891,2567,"CILK1"
1350,1988,2041,1341,1791,1683,1794,2614,"FBXO9"
587,630,708,480,789,753,600,886,"CD83"
1457,2456,2992,982,1718,1660,1504,3263,"MDN1"
89,56,59,35,91,63,45,74,"GLP1R"
414,629,627,335,509,436,478,802,"SAYSD1"
367,671,909,182,470,418,410,957,"BMP5"
185,179,207,132,172,189,148,162,"BACH2"
34,57,84,53,55,59,51,197,"RBM24"
370,512,589,287,480,440,416,795,"CAP2"
0,0,0,1,2,0,0,0,"TREML2"
831,1535,1682,826,1119,1105,1055,1866,"ZNF451"
873,1271,1601,848,1179,1178,1164,2189,"BAG2"
606,1037,1116,590,885,739,656,1473,"RAB23"
0,0,0,0,0,0,0,0,"TSPO2"
0,0,0,1,0,0,1,0,"FHL5"
1,4,3,0,3,4,1,3,"GPR63"
0,0,0,0,0,0,0,0,"KHDRBS2"
301,526,655,211,386,324,296,702,"FBXL4"
1309,2635,2595,1356,1797,1778,1680,3082,"CCNC"
28,23,40,18,40,18,23,65,"PRDM13"
1161,1542,1741,975,1393,1345,1263,2058,"E2F3"
0,4,1,0,0,4,1,4,"PTP4A1"
0,1,0,1,1,1,5,5,"SIM1"
902,1456,1664,685,1089,1059,912,1847,"ASCC3"
0,0,0,0,0,1,0,1,"HDGFL1"
222,353,441,162,290,227,178,556,"BVES"
1,0,1,0,0,0,0,1,"COL9A1"
1789,3325,3790,1242,2201,2063,1687,3999,"MED23"
322,306,529,295,494,386,450,760,"WASF1"
24,63,58,26,24,31,25,82,"GPLD1"
335,627,781,290,435,419,366,886,"ALDH5A1"
1631,2586,3145,1215,1995,1571,1658,3069,"CRYBG1"
123,142,108,57,283,141,65,53,"VNN1"
5,2,1,1,7,1,0,0,"VNN2"
319,664,715,290,452,440,364,935,"ACOT13"
722,1320,1253,680,967,942,871,1604,"SMAP1"
15088,29061,26705,16406,20484,20797,26031,37777,"RPS12"
3744,3736,4114,3909,4884,4612,4648,4543,"C6orf62"
3,15,7,4,3,6,1,11,"B3GAT2"
348,519,612,361,444,403,479,875,"GMNN"
3,6,1,2,7,7,8,5,"EYA4"
110,162,207,88,177,187,188,216,"SOBP"
34,11,20,30,55,40,23,25,"NR2E1"
1739,2996,3381,1456,2446,2169,2124,4095,"SNX3"
0,0,0,0,0,0,0,0,"SLC17A2"
2178,4343,4273,1932,2766,2867,2513,5228,"HBS1L"
1398,1946,2188,1151,1805,1726,1518,2418,"TRIM38"
149,258,226,133,182,184,200,327,"PEX7"
359,559,543,278,468,445,332,736,"ZBTB24"
378,693,761,343,515,501,474,847,"FIG4"
12881,24644,26804,11469,16698,15831,16337,29147,"PERP"
1589,3671,4302,1022,1888,1859,1450,4161,"ARFGEF3"
53,100,135,71,69,93,88,176,"SLC16A10"
1531,3367,3436,1379,1942,1823,1641,3670,"HECA"
3504,5465,7376,2762,4509,3682,3776,8805,"ADGRG6"
872,2015,2228,797,1167,1150,967,2327,"PHACTR2"
131,216,274,146,139,160,154,343,"EPM2A"
0,0,0,0,0,0,0,0,"OR12D3"
920,1324,1418,860,1219,989,1016,1657,"SLC39A7"
0,0,0,0,0,0,0,0,"CCR6"
4,3,4,11,5,7,2,2,"UNC93A"
0,0,0,0,0,0,0,0,"SLC22A2"
218,421,369,232,323,259,323,474,"PHF1"
887,1452,1542,814,1171,1172,1307,1960,"CUTA"
2,6,1,3,1,0,2,3,"PACRG"
3899,7793,8020,3469,5008,4681,3921,8861,"QKI"
36,8,39,25,39,46,32,46,"C6orf118"
23,12,47,16,23,27,20,97,"PDE10A"
2247,2347,2818,1810,2941,2912,2898,3519,"MDFI"
97,100,116,115,143,123,169,92,"TFEB"
157,193,151,89,186,164,144,177,"SMOC2"
1227,1894,1901,1152,1714,1449,1480,2484,"CCND3"
906,1143,1244,826,1290,1139,1127,1643,"BYSL"
474,653,634,332,523,513,486,749,"FAM120B"
980,1619,1793,874,1263,1272,1138,2171,"TBP"
65,242,139,55,63,77,101,154,"GUCA1B"
6,13,9,11,12,14,8,16,"PRPH2"
445,1087,1109,291,578,518,382,1119,"BICRAL"
1881,3184,3248,1908,2707,2608,2625,4223,"PPP2R5D"
90,188,210,76,165,162,170,242,"MRPL2"
5401,10661,10013,4645,7139,7049,6964,12662,"PTK7"
2731,3981,4500,2534,4116,3536,3223,6786,"SRF"
1150,1935,1737,982,1491,1331,1330,2031,"CUL9"
901,1856,1534,799,1256,1168,1204,2057,"DNPH1"
659,1254,1471,497,901,795,750,1590,"DUSP22"
412,693,776,317,476,427,358,996,"EXOC2"
1023,1966,1971,964,1447,1310,1416,2508,"COX7A2"
2754,4502,5133,2306,3879,3401,2861,4991,"TMEM30A"
474,841,847,453,679,627,692,1053,"GMDS"
1366,2396,2587,1184,1596,1684,1477,3042,"SENP6"
0,0,0,0,1,1,0,0,"IMPG1"
1893,7189,4065,2122,2477,2387,2518,5617,"VEGFA"
1857,3169,3889,1655,2315,2157,2026,4432,"PRPF4B"
1337,1642,1571,1165,1858,1812,1666,2245,"TTK"
1574,2080,2095,1315,2019,1738,1789,2609,"SLC29A1"
0,0,0,0,1,0,0,0,"CCN6"
631,948,1067,607,883,804,715,1390,"BTN2A1"
111,347,441,153,161,149,141,333,"LAMA4"
325,744,578,287,373,344,322,687,"TENT5A"
10,4,13,9,9,8,7,5,"CLIC5"
3649,5092,5318,3285,5230,4815,4937,7167,"FBRSL1"
289,530,518,247,390,316,377,596,"ENPP5"
0,0,0,0,0,0,0,0,"LY86"
364,645,698,260,432,321,363,841,"PRSS16"
2,0,0,1,0,0,0,0,"MEP1A"
7,1,8,5,7,11,5,6,"TBX18"
719,1272,1414,599,974,924,845,1588,"ERBIN"
0,1,2,3,0,1,0,3,"PCDHB2"
700,1201,1059,597,921,861,809,1366,"HARS2"
179,461,406,157,267,222,250,505,"NUDT12"
605,462,487,617,743,746,751,584,"CEP72"
333,963,1144,237,421,359,360,1207,"MAN2A1"
0,1,0,0,1,2,1,0,"SEMA5A"
1,1,0,0,1,1,1,0,"C7"
2135,4059,4397,2083,3042,2914,2807,5926,"TENT4A"
536,538,597,353,631,573,541,754,"GHR"
876,5113,5295,900,1232,1017,1067,7040,"HMGCS1"
3941,6751,7307,4153,5676,5390,5029,7775,"DAP"
11,2,3,3,3,4,4,2,"NME5"
1758,1871,2046,1475,2447,2206,2063,2665,"BRD8"
1510,1866,1926,1316,2278,2091,1857,2530,"KIF20A"
749,1338,1379,593,898,891,809,1469,"NNT"
742,898,1020,567,947,860,741,1408,"MRPS30"
6197,8302,8863,6110,7962,7883,7228,11558,"HSPA9"
940,1697,1694,843,1257,1170,1194,2284,"MRPS27"
596,1087,1102,625,799,878,855,1410,"PFDN1"
42,47,33,57,33,41,43,62,"HBEGF"
3,20,3,3,2,5,2,1,"SLC4A9"
333,1060,845,210,453,371,334,847,"LOX"
0,0,0,0,0,0,0,0,"GZMK"
0,0,0,0,1,0,1,0,"CDH9"
319,419,423,249,371,307,305,564,"APBB3"
345,546,579,247,403,391,377,773,"TMCO6"
1994,1234,1796,2769,3176,3144,4576,2475,"SPARC"
1580,2366,2402,1429,1899,1842,1861,3146,"IK"
874,3419,3829,782,1249,961,1031,5087,"HMGCR"
445,745,961,404,630,533,468,1137,"CERT1"
1952,2866,2984,1722,2543,2406,2167,3766,"FAF2"
2,0,1,1,6,2,6,1,"HAND1"
111,225,171,95,191,159,142,185,"PCDHB3"
1,11,7,1,5,2,1,5,"PCDHB5"
1,1,2,2,1,2,0,1,"PCDHB6"
0,2,9,3,1,2,1,8,"PCDHB7"
26,17,21,12,14,24,8,34,"PDE8B"
725,912,1068,697,875,827,857,1207,"CLK4"
35,64,32,33,57,28,36,42,"PCDHB15"
0,0,0,0,0,0,0,0,"HAVCR1"
1,2,4,0,3,0,2,7,"GRM6"
1,0,0,1,0,0,0,0,"ITK"
3249,4993,5302,3512,4648,4535,4860,6819,"RNF130"
133,180,216,142,228,202,179,305,"THG1L"
295,546,605,192,396,357,247,788,"ARSB"
1980,3879,4023,1824,2613,2617,2221,4329,"CLINT1"
70,48,73,265,257,151,506,60,"THBS4"
1631,2855,3100,1444,2263,2062,1807,3703,"CNOT6"
4,0,1,0,2,2,0,0,"IL12B"
0,0,0,0,0,0,0,0,"BTNL8"
790,1093,1178,685,1064,1001,1027,1466,"TTC1"
315,525,525,250,416,406,363,692,"MSH3"
15,11,13,9,14,15,13,12,"RASGRF2"
0,0,0,0,0,0,0,1,"GABRG2"
601,1089,1177,610,805,739,811,1321,"CCNG1"
481,907,1051,354,624,515,393,1233,"POLR3G"
1644,2587,2757,1469,2215,2049,1851,3704,"DROSHA"
0,0,0,0,1,2,0,0,"CDH6"
1746,2661,2710,1813,2591,2605,2443,3666,"LMNB1"
1845,3034,2466,1081,2389,1840,1432,2302,"ARRDC3"
2140,3460,3859,1983,2726,2702,2449,4338,"GOLPH3"
2712,4962,5173,2740,3623,3603,3613,6246,"SUB1"
476,1015,1387,429,614,656,630,1776,"NPR3"
277,602,530,272,341,310,339,644,"FAM172A"
90,165,231,102,92,92,84,261,"SLC27A6"
2427,3234,3798,1925,3193,2797,2504,4489,"TARS1"
130,84,169,122,208,130,142,186,"IRX4"
917,1256,1541,622,1106,913,870,1690,"LNPEP"
55,137,132,114,63,70,123,128,"PDE4D"
461,703,763,443,614,555,510,962,"RAD1"
696,1062,1099,632,997,903,886,1649,"BRIX1"
0,0,0,1,0,0,0,0,"AGXT2"
1191,1547,1963,973,1563,1323,1340,2025,"PRLR"
2532,2472,2599,1927,3465,2585,2515,3077,"SLC12A7"
1,0,1,0,0,0,0,0,"IL4"
12,30,36,8,15,18,9,27,"RAD50"
0,0,0,0,0,1,0,0,"IL5"
10,10,8,6,12,10,11,8,"ST8SIA4"
691,1173,1135,604,991,858,825,1472,"GNPDA1"
8,2,9,5,5,0,2,4,"PCDH12"
1047,1601,1603,1106,1449,1392,1289,1927,"SKP1"
1777,3369,3513,1597,2122,2132,2028,4248,"NUP155"
1400,1973,1982,2033,1976,1950,2077,2389,"PPP2CA"
15,26,19,18,8,17,21,9,"FGF1"
366,521,634,391,463,437,429,652,"NR3C1"
542,953,993,441,716,681,599,1133,"C5orf15"
339,458,564,337,425,439,373,680,"PPWD1"
108,182,226,51,119,118,94,178,"LIFR"
86,95,107,89,73,80,86,155,"TRIM23"
201,290,291,172,267,280,253,356,"TRAPPC13"
0,1,0,1,0,0,0,0,"C9"
274,529,751,276,430,352,304,797,"SEC24A"
276,383,398,177,332,300,298,486,"TXNDC15"
158,378,398,185,215,198,222,421,"TTC33"
1230,2013,2131,1039,1613,1609,1410,2567,"RARS1"
3292,4544,4422,2471,4904,3892,3246,6265,"WWC1"
1954,3228,3345,1758,2555,2386,2496,3854,"MACROH2A1"
2119,3646,3763,1870,2590,2523,2277,4662,"TCERG1"
1648,2809,2912,1532,2334,2106,1990,3712,"DPYSL3"
634,1231,1465,547,842,730,694,1684,"SMAD5"
2090,2912,3084,1926,2715,2654,2235,3645,"CSNK1A1"
1313,1986,1908,1121,1745,1643,1408,2435,"HMGXB3"
3461,5826,6094,3157,4649,4505,4499,7624,"ERGIC1"
23,15,17,23,29,28,29,21,"PDGFRB"
0,0,0,0,0,0,0,0,"CDX1"
1815,2612,3017,1594,2563,2191,2262,3562,"ATP6V0E1"
156,300,345,165,236,212,220,429,"BNIP1"
1825,3468,2451,1841,2342,2578,2311,3615,"STC2"
586,809,745,664,700,749,712,927,"CPEB4"
1,0,0,0,3,1,4,0,"HRH2"
7005,9631,10233,6618,9579,9213,9465,13415,"DBN1"
406,590,579,394,512,439,502,763,"ZNF346"
15,10,6,8,23,20,11,8,"UNC5A"
679,1123,1160,505,807,855,646,1359,"EHHADH"
0,0,0,0,0,0,0,0,"CNTN3"
8794,11240,11927,6926,11943,10868,9197,15357,"SMC4"
478,668,624,363,676,535,552,774,"SELENOK"
499,844,850,438,586,655,522,1072,"ACTR8"
366,679,654,289,507,404,388,884,"TBCCD1"
1218,2003,2048,1012,1672,1590,1392,2453,"TIMMDC1"
197,393,357,193,268,270,248,480,"CRBN"
1,0,0,0,0,0,0,0,"KNG1"
3,1,0,2,0,0,3,0,"HRG"
2270,2400,2362,2015,3291,2120,2175,2489,"BCL6"
3,0,0,1,0,1,1,1,"HGD"
88,151,186,46,97,72,71,129,"CLDN16"
167,263,303,144,211,212,202,437,"ARL6"
85,175,205,78,124,88,102,212,"NPHP3"
0,0,0,0,0,0,0,0,"CD86"
2533,4592,4647,2109,3319,2777,2284,5911,"AMOTL2"
1297,2525,2333,1032,1696,1624,1583,2808,"NIT2"
448,1329,1197,393,591,584,581,1472,"FAM162A"
358,549,585,276,449,427,450,792,"OGG1"
1111,1760,2038,1022,1452,1364,1224,2354,"KPNA1"
970,2015,1987,1057,1273,1306,1277,2596,"PCCB"
760,1556,1566,756,1177,990,904,1864,"UBE3A"
963,1674,1773,917,1219,1290,1210,2115,"ARMC8"
779,1520,1564,698,1112,993,956,1832,"CEP70"
0,1,0,0,0,0,1,0,"RBP2"
547,1469,1245,519,798,757,821,1089,"RBP1"
1531,3499,3658,1279,1800,1893,1784,3693,"SLC25A36"
5,7,2,3,9,3,7,4,"GRK7"
742,1368,1447,640,938,790,873,1636,"RNF7"
2650,5301,5117,2344,3601,3306,3499,6121,"TFDP2"
573,828,906,453,611,656,553,1042,"XRN1"
74,147,138,79,122,90,106,144,"KAT2B"
16,50,29,65,64,45,51,45,"BCHE"
0,0,0,0,0,0,0,0,"SERPINI2"
1717,2834,2898,1823,2299,2303,2151,3543,"PDCD10"
0,1,4,0,1,1,0,1,"LRRC31"
83,100,77,48,137,87,67,61,"WNT5A"
100,1191,602,91,103,118,99,763,"PFKFB4"
813,1142,802,417,1050,643,812,1078,"COL7A1"
167,140,233,173,192,209,212,242,"FGF12"
1213,2642,2605,991,1406,1332,1214,3314,"PRKAR2A"
2734,2539,1639,2277,3285,2756,3520,3106,"HES1"
1182,1672,1735,931,1517,1392,1288,1969,"USP4"
1758,3351,4090,1463,2266,2057,2016,4107,"ACAP2"
3267,4924,5294,3033,4673,4284,3711,6696,"ECT2"
3,0,1,2,5,0,1,1,"GNAT1"
5712,10416,9715,5494,8017,7613,7511,11052,"GNAI2"
3009,4608,5057,2752,4196,3877,3546,5937,"TFG"
3,5,3,8,9,5,8,2,"USP9Y"
45,75,39,52,35,24,46,71,"HYAL1"
539,801,656,462,671,695,683,963,"TUSC2"
363,490,471,287,425,379,412,666,"NPRL2"
4634,9403,9129,4883,6386,5969,7148,11415,"RPL24"
150,185,171,112,176,160,170,250,"CYB561D2"
138,237,241,145,184,206,143,347,"C3orf14"
3719,6542,6873,3890,5379,4894,5112,8754,"FXR1"
362,904,1058,286,536,432,358,1109,"CBLB"
1375,2657,3131,1153,1724,1791,1657,3403,"BBX"
947,2033,2021,931,1447,1262,1262,2251,"IFT57"
1835,3494,4120,1385,2438,1893,1529,4615,"GNB4"
1,2,0,2,0,5,1,3,"HHLA2"
1260,1966,1956,915,1633,1312,1142,2313,"IQCG"
265,906,794,204,391,335,302,986,"GBE1"
1,0,0,0,0,0,0,0,"MORC1"
940,1391,1432,829,1280,1209,1120,1861,"UMPS"
5533,8725,9207,4779,7681,6552,6373,12490,"NCBP2"
868,1656,1604,782,1077,1154,1051,1873,"SNX4"
210,310,420,164,276,217,221,426,"C3orf52"
205,337,227,145,225,206,204,258,"FRMD4B"
805,1637,1676,693,905,844,975,2529,"SLC41A3"
497,1022,918,590,714,625,716,1083,"ROPN1B"
3577,4213,4657,2314,4840,3834,3444,5233,"PLXNA1"
2042,3423,3404,1968,2485,2550,2588,3968,"ATP6V1A"
207,513,465,158,291,198,264,554,"ABTB1"
1417,2423,2204,1180,1970,1781,1942,2985,"PODXL2"
1,0,0,0,0,0,0,1,"UPK1B"
36,80,77,44,85,43,49,64,"CSPG5"
706,1221,1337,625,985,915,820,1715,"KLHL18"
2385,3967,3734,2196,3303,2967,3116,5148,"SCAP"
10,11,7,8,17,17,15,6,"EFCC1"
31,39,39,39,56,46,65,41,"KIAA1257"
181,305,299,134,192,207,188,370,"NEK11"
2119,3267,3521,1974,2907,2769,2674,4819,"MRPL3"
564,1123,1224,457,712,531,441,1017,"PLSCR4"
701,882,795,418,858,720,700,1175,"HEMK1"
76,46,54,37,98,67,59,109,"CISH"
1021,1527,1563,976,1299,1368,1366,2160,"MAPKAPK3"
403,739,706,191,405,366,307,875,"ACVR2B"
995,1686,1774,795,1169,1146,1019,2107,"WDR48"
2579,4684,4451,2339,3415,3198,2963,5431,"COMMD2"
1148,1802,1977,992,1611,1404,1280,2468,"GORASP1"
0,0,0,1,0,0,1,2,"PEX5L"
658,974,947,582,834,802,779,1460,"RRP9"
3752,5060,5724,2489,4795,3788,3538,7044,"ABCC5"
0,0,0,0,1,0,0,0,"AADAC"
563,931,765,395,525,566,589,833,"ABHD14B"
363,599,592,446,507,509,544,742,"EIF1B"
0,1,2,0,2,0,0,2,"ABHD14A-ACY1"
136,332,358,102,147,179,132,444,"ARHGEF26"
1616,2933,3613,1352,1974,1694,1732,3478,"KLHL24"
1467,2695,2611,1459,1689,1844,1773,2782,"PLCH1"
127,339,266,213,162,190,261,364,"VIPR1"
216,459,385,210,177,199,227,416,"DNAH1"
7729,12405,13696,5935,10120,8455,8151,15777,"SSR3"
523,1043,925,500,674,675,643,1142,"ZBTB47"
8,7,7,6,4,6,46,9,"TNNC1"
1467,3351,3369,1050,1722,1559,1402,3450,"NKTR"
1274,1653,1898,1185,1772,1727,1689,2506,"CLCN2"
264,329,331,247,298,334,386,387,"FOXP1"
20764,31681,33460,20043,28379,26682,24291,44444,"EIF4G1"
725,1240,1169,722,980,958,1050,1533,"SPCS1"
605,1100,1000,545,797,745,641,1354,"NEK4"
1071,2082,1731,823,1408,1288,1271,2308,"SLC4A3"
641,983,1296,565,830,686,671,1445,"INO80D"
3267,6401,6283,3444,4467,4426,5018,8905,"EEF1B2"
20,10,16,16,31,14,31,26,"ADAM23"
478,796,780,436,659,627,668,1053,"DGUOK"
2061,3879,4161,1791,2760,2664,2299,5003,"MOB1A"
2123,3950,3843,1714,2907,2516,2302,4796,"KANSL3"
574,862,881,534,805,660,715,1165,"LMAN2L"
1692,2208,2477,1394,2459,1958,1943,3155,"RTKN"
2421,4587,5118,1841,3190,3023,2396,5767,"TTL"
0,4,0,0,4,2,1,0,"IL1A"
139,110,84,79,274,195,102,73,"CCL20"
594,989,1303,500,718,691,570,1318,"PIKFYVE"
489,660,911,503,666,630,711,1089,"KCNIP3"
1498,1941,1919,1367,1832,1781,1780,2394,"FAHD2A"
17273,26847,29574,15601,21969,21520,19464,37155,"NCL"
2563,5134,4688,2363,3303,3246,3463,5477,"ACTR1B"
1319,2146,2497,1103,1851,1556,1563,3029,"SLC35F5"
36,65,78,45,56,50,69,90,"ZAP70"
7661,10561,12410,7297,10856,10348,9175,14719,"ACTR3"
5694,6803,6987,4801,8743,6518,6652,8179,"STEAP3"
766,1510,1530,763,984,1122,991,2098,"EPB41L5"
4183,11035,7703,3182,4014,4433,4826,7767,"TFCP2L1"
1673,2725,3183,1466,2258,2099,2102,3920,"SF3B6"
791,1446,1455,624,1144,1016,971,1660,"TP53I3"
176,367,321,126,197,183,153,389,"DNAJC27"
27,16,21,35,36,17,26,23,"POMC"
431,783,799,320,559,503,467,931,"STAM2"
71,46,64,56,76,50,67,80,"OTOF"
1873,4098,4087,1347,2194,2416,2142,4933,"GPD2"
1366,1665,1416,1230,2049,1851,1859,2292,"CENPA"
0,0,0,0,0,0,0,0,"CYTIP"
383,719,615,298,502,440,435,861,"ACVR1"
2394,5138,5250,1593,2548,2686,2173,6269,"TANC1"
51,42,42,36,95,59,60,48,"SLC30A3"
1049,1231,1354,772,1328,1102,1120,1612,"MPV17"
4043,5945,5877,3548,5465,5040,5088,7741,"GTF3C2"
919,1572,1657,804,1286,1116,1189,2240,"EIF2B4"
2034,3228,3819,1886,2870,2579,2394,4743,"NRBP1"
2251,1734,1705,1198,3041,2336,1770,2072,"ITGB6"
65,225,200,45,122,89,87,121,"FNDC4"
0,0,0,2,2,2,1,1,"ITGA4"
2069,3174,3113,2222,2708,2949,2703,4554,"PSMD14"
2302,3975,3805,2204,3263,2930,3221,4649,"SNX17"
405,648,641,377,508,526,503,793,"ASB3"
5798,9209,9725,5309,7988,7163,6962,12642,"PPM1G"
7,4,7,16,5,6,4,6,"PDE1A"
252,351,359,221,290,304,331,373,"REEP6"
120,227,162,94,148,151,175,214,"PCSK4"
0,0,0,0,0,0,1,0,"GCG"
60,16,68,16,55,41,36,130,"APC2"
3405,2090,1974,1549,3991,3207,1836,2137,"IFIH1"
2794,5635,4781,3222,3900,3753,4590,5927,"RPS15"
547,903,839,502,805,683,678,1037,"GCA"
6,23,23,12,24,11,25,34,"INO80B"
1568,2547,2432,1250,2176,1827,1872,3308,"MOGS"
367,618,608,338,473,441,532,740,"TTC31"
1114,1673,1632,1019,1555,1394,1442,2331,"NDUFS7"
286,452,454,276,355,315,343,647,"PCGF1"
212,285,392,195,267,346,300,502,"GRB14"
1358,1985,2138,795,1597,1190,1088,2315,"CLIP4"
11,10,10,0,6,4,2,12,"TLX2"
7070,14998,16450,5128,8200,7770,6415,17063,"SPTBN1"
2139,2818,3365,1830,3048,2525,2721,4477,"AUP1"
7495,13662,14563,6239,10323,8620,8546,17288,"RTN4"
357,627,652,347,525,450,536,800,"HTRA2"
193,289,332,190,285,295,228,385,"LOXL3"
113,297,220,87,116,135,149,264,"DOK1"
2093,3869,4193,1504,2924,2262,1984,5100,"GALNT3"
145,210,263,175,211,165,237,348,"POLE4"
5,3,3,1,11,4,5,0,"TACR1"
903,2017,2403,773,1272,1283,1129,2897,"CCDC88A"
6,15,11,43,9,15,8,18,"ACADL"
263,437,515,147,438,270,280,658,"EVA1A"
675,1197,1378,718,966,863,814,1659,"MRPL19"
923,2187,2080,779,1140,1208,998,2415,"LANCL1"
1767,2623,2840,1464,2318,2142,1889,3569,"WDR75"
150,33,169,88,239,198,235,150,"EFEMP1"
0,0,0,0,0,0,0,0,"REG1A"
1114,2177,2250,936,1577,1342,1401,2867,"FANCL"
3428,3709,2677,1529,4646,2412,1692,3196,"FN1"
7068,5078,4480,4631,7802,7240,4655,4795,"STAT1"
3069,4796,6536,2160,4361,3217,2854,6744,"GLS"
629,808,971,502,837,682,666,1175,"PAPOLG"
18,14,18,12,23,25,17,16,"DNAH6"
122,211,230,126,174,187,132,265,"PECR"
691,1244,1179,570,906,764,748,1541,"UNC50"
1111,3532,3187,1377,2278,1074,1510,3723,"IGFBP2"
446,505,512,341,619,495,469,672,"ELMOD3"
9877,11351,8582,4103,9887,11938,7852,14701,"IGFBP5"
2570,4492,4615,2178,3558,3222,2979,5698,"USP34"
2984,2191,3290,3047,4076,3878,4817,3898,"EFHD1"
0,0,0,0,0,1,0,0,"KCNJ13"
4066,7249,7287,3416,5689,4877,4662,9436,"CCT4"
1380,1471,1647,1006,1965,1558,1430,2012,"GGCX"
0,0,0,0,0,0,0,0,"NEU2"
608,1032,1154,441,823,689,563,1334,"EHBP1"
369,794,908,419,542,555,574,1073,"OTX1"
1016,1671,1635,985,1399,1321,1271,2094,"TXNDC9"
276,451,454,330,432,427,438,509,"COQ10B"
4,4,2,5,3,6,2,6,"GNLY"
5349,9131,9882,4588,6578,6559,5711,11378,"SF3B1"
4,2,2,0,6,2,6,7,"ST3GAL5"
749,1112,1104,653,929,879,860,1462,"CHST10"
549,815,872,547,706,765,681,1303,"PDCL3"
327,636,664,319,410,436,385,826,"MOB4"
525,679,857,429,718,642,635,1008,"HSPE1"
1310,4949,3747,1052,1554,1550,1440,4235,"KDM3A"
7,19,8,5,10,9,15,20,"PLCD4"
1557,3277,3177,1527,2167,2015,2118,3667,"CHMP3"
1533,2025,2270,1272,1964,1789,1592,2785,"ZNF142"
62,55,65,81,76,90,116,165,"IL1R2"
2,0,0,2,2,0,9,0,"PRKAG3"
1,4,6,5,7,9,7,6,"SMYD1"
515,585,732,356,644,515,445,755,"IL1R1"
22,4,8,22,32,21,43,16,"WNT6"
545,434,652,393,648,534,515,746,"IL1RL2"
1,0,0,1,1,0,0,2,"IL1RL1"
95,54,87,46,115,92,66,74,"IL18R1"
0,0,0,0,0,0,1,1,"IL18RAP"
5,4,3,4,12,7,7,5,"SLC9A2"
882,473,801,528,1428,830,802,1040,"FHL2"
524,1414,1361,395,693,616,553,1144,"MLPH"
1250,2187,2093,1159,1576,1525,1636,2592,"CNPPD1"
1114,1219,1494,896,1689,1197,1314,1880,"UXS1"
13,35,43,32,47,49,44,75,"ABCB6"
356,633,590,325,506,483,457,731,"STK16"
0,0,1,0,0,1,0,0,"SLC5A7"
21681,40567,44299,20239,29412,28306,26016,54869,"HDLBP"
1396,2127,2274,1464,2118,1808,1972,3064,"PPP1R7"
838,1662,1741,718,1098,915,985,2207,"PASK"
4118,6521,7054,3948,5839,5266,5507,9581,"STK25"
0,0,0,1,0,0,0,0,"TPO"
8,16,14,7,23,15,21,15,"PROC"
2367,4517,3529,2496,3584,3253,3803,5955,"ID2"
632,1151,1094,554,732,724,575,1301,"TAF1B"
2916,3809,3881,2819,4268,3996,4077,4811,"HPCAL1"
3293,5204,5756,2889,3881,4467,4131,8818,"ODC1"
2184,3569,3883,1866,2733,2617,2457,4546,"BIRC6"
1771,2901,2894,1576,2413,2157,2085,3715,"NOL10"
2465,4612,4348,1992,3355,3358,2765,5685,"PLEKHB2"
2395,4363,4735,2172,3040,2831,2730,5279,"GORASP2"
1972,5421,6033,1964,2607,2782,2310,6322,"STRN"
2809,4279,4548,2093,3566,3233,2789,5856,"CEBPZ"
1942,3950,4247,1518,2429,2320,1898,4811,"PRKD3"
421,763,869,308,542,444,382,978,"DCAF17"
382,388,515,356,520,459,443,346,"QPCT"
1683,3186,2649,1449,2245,2119,1992,3646,"RAB3GAP1"
725,1159,1278,509,919,874,775,1467,"SLC25A12"
123,168,187,90,140,120,109,227,"RMDN2"
49,25,17,32,53,58,62,42,"DLX2"
281,409,288,291,372,329,358,417,"LCT"
1868,4151,3543,1840,2344,2576,2248,4620,"DARS1"
4602,6684,7854,3886,5939,5288,5266,9174,"SRSF7"
16381,20342,22534,13832,20832,17940,19074,25242,"SDC1"
0,1,1,4,2,5,4,2,"PLCL1"
571,709,763,351,773,533,561,735,"SLC1A4"
1522,2785,3297,1266,1996,1917,1708,4011,"SOS1"
