"HBCx14_Cisplatin1","HBCx14_chemonaive1","HBCx14_Cisplatin2","HBCx14_chemonaive2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","HBCx14_chemonaive3","Symbol"
269,356,189,428,246,334,264,433,"SLC41A2"
8,14,5,11,15,23,9,20,"VILL"
20322,35273,13631,34677,17059,23617,19629,42283,"FLNB"
276,527,207,550,289,329,274,556,"NEK3"
356,670,243,499,318,511,374,523,"PCDH8"
463,937,334,925,514,590,423,1074,"VPS36"
651,1101,513,1185,672,765,658,1419,"RNASEH2B"
1540,2717,992,2787,1513,2457,2112,3428,"CKAP2"
0,0,0,0,0,0,0,0,"CNMD"
1379,1998,793,2805,1086,1396,1469,3410,"TBC1D4"
6,6,6,6,7,7,6,10,"THSD1"
684,1106,492,1094,686,1031,889,1432,"BORA"
471,805,378,963,554,606,468,1029,"LRCH1"
689,1011,539,1022,594,712,690,1398,"SUCLA2"
610,1202,493,1153,632,743,637,1384,"RCBTB1"
543,1143,509,1173,678,752,557,1452,"MED4"
810,831,505,850,826,767,629,943,"PHF11"
6,14,5,8,2,4,6,15,"RPL13AP25"
547,973,409,1002,597,684,578,1076,"COG3"
2196,3087,1396,3546,1834,3216,2613,4398,"LMO7"
15,19,9,15,7,15,26,14,"SCEL"
3241,3722,2730,3319,3540,3398,2932,3620,"ITM2B"
334,794,319,631,344,421,383,911,"SPRY2"
530,736,506,774,608,696,627,1110,"NUDT15"
7,5,19,5,6,6,4,6,"EDNRB"
109,132,90,151,134,140,141,182,"RCBTB2"
1010,1028,823,761,1076,955,1139,865,"LCP1"
215,431,164,456,226,268,247,497,"SETDB2"
3580,7584,2594,8228,3548,4781,3705,9523,"SCRN1"
3,8,5,5,9,9,9,14,"C7orf25"
2147,2747,1400,2344,2478,2746,1736,3188,"TNS3"
0,1,0,2,4,0,0,0,"SPDYE1"
343,384,253,420,338,411,340,532,"CHST12"
1572,3394,1157,3655,1677,2268,1664,3803,"IGF2BP3"
3405,5667,2987,6006,3325,4916,3338,6762,"GPNMB"
770,1635,582,1487,876,851,552,1267,"RAPGEF5"
3997,7816,3563,8066,4600,5123,4203,9442,"RAC1"
3527,5252,3056,5883,3733,4758,3585,6926,"KDELR2"
670,1020,580,1164,713,929,725,1440,"NUP42"
80,14,69,11,115,68,55,14,"IL6"
327,567,306,553,363,394,354,708,"ZDHHC4"
8,0,5,0,4,2,4,0,"AOAH"
1667,2647,1534,3164,1879,2127,1855,3867,"BZW2"
2,1,0,7,5,1,0,4,"DGKB"
1255,2163,1157,2139,1477,1590,1335,2807,"TBRG4"
1124,1668,996,1807,1289,1462,1280,2320,"DDX56"
171,254,127,352,168,208,200,369,"HUS1"
67,95,45,77,54,71,73,87,"NACAD"
1,0,0,0,0,0,0,0,"C7orf69"
1600,2620,1625,2463,1998,2095,1620,3114,"DBNL"
707,986,624,1098,750,947,789,1391,"CCM2"
40,16,36,12,51,35,52,22,"MYO1G"
3992,8270,3775,8076,4711,5515,4485,9462,"TTYH3"
1,0,3,0,0,0,1,0,"MMD2"
222,402,169,356,186,199,228,406,"CIDEB"
0,0,0,0,0,0,0,0,"AL355922.1"
223,430,155,435,265,307,210,519,"TTC5"
2,0,0,0,0,1,3,1,"NKX2-8"
0,0,1,0,0,0,1,0,"NKX2-1"
354,297,300,456,391,475,385,471,"ZFHX2"
13,12,12,15,8,25,5,14,"MTHFS"
426,564,313,492,467,477,373,554,"ADAMTS7"
609,955,461,1025,633,663,580,1249,"ABHD17C"
971,1918,672,1966,908,1229,1012,2172,"IREB2"
288,732,244,644,331,399,323,713,"ALPK3"
32,15,13,16,30,34,24,6,"TM6SF1"
325,519,295,515,392,439,364,618,"CIB2"
494,570,315,581,442,590,405,660,"CALCOCO2"
241,391,171,380,246,284,203,610,"RSAD1"
2435,3030,1810,3128,2253,2903,2379,4148,"NMT1"
23,15,14,18,21,25,28,24,"MYCBPAP"
1940,3346,1588,3856,2150,2515,1988,4606,"SRSF1"
1520,2120,1137,2222,1619,1683,1568,2461,"VEZF1"
15,14,5,12,9,20,11,6,"CHAD"
488,746,469,666,539,579,486,952,"TACO1"
3076,4728,2190,5527,2751,3789,3186,6856,"TEX2"
3624,5738,2469,6347,3156,4692,3704,7890,"DCAF7"
0,0,0,0,0,0,0,0,"GH2"
0,0,0,0,0,0,0,0,"CSH1"
995,1419,813,1628,1112,1255,952,1679,"LIMD2"
612,912,420,1040,589,684,578,1262,"BRIP1"
528,736,518,722,558,551,545,979,"KAT7"
1246,841,640,699,1281,1248,919,501,"RTP4"
2606,4680,2211,5059,2776,3776,2903,6445,"ACTL6A"
1409,1997,1225,2276,1571,1689,1357,2917,"NDUFB5"
1120,2031,1097,2067,1209,1486,1263,2747,"MRPL47"
4272,6726,3512,7637,4598,5221,4475,9124,"TRA2B"
128,139,88,200,142,198,103,144,"SCN2A"
1,1,0,2,2,1,3,0,"TBR1"
1807,3758,1300,3352,2122,2641,2053,4056,"MARCHF7"
3,0,0,1,0,1,2,0,"ERMN"
105,221,101,177,251,189,105,177,"GALNT5"
19,3,15,2,15,13,19,4,"SCN7A"
2278,3438,1784,3375,2752,3188,2442,4414,"TANK"
2,0,2,0,0,0,0,0,"BLK"
4,0,2,2,3,1,0,1,"GATA4"
1562,2065,1126,2373,1789,2069,1479,2084,"SKIL"
4631,8254,2764,8424,3993,5773,4542,9771,"EPRS1"
6,6,3,5,3,5,5,17,"HLX"
1116,1660,959,1685,1186,1443,1072,1929,"VPS45"
2,0,2,0,4,3,0,2,"IL10"
1116,2429,849,2496,1208,1527,1045,2855,"KCTD3"
374,535,243,594,367,445,319,698,"RPS6KC1"
369,586,263,613,322,510,395,762,"CBWD2"
24,2,10,2,25,12,9,9,"IL36G"
22,15,16,11,22,12,18,7,"IL1RN"
0,0,0,1,0,0,0,0,"IL36A"
16,11,9,4,12,16,15,9,"IL36RN"
0,0,0,0,0,0,0,0,"IL36B"
0,0,1,0,0,0,0,0,"IL1F10"
0,0,0,0,0,0,0,0,"CFC1"
3100,5898,2906,5230,3758,4213,3793,7489,"SMPD4"
2737,5214,2206,4437,2908,3550,2959,6193,"WDR33"
478,1179,495,952,668,628,531,1367,"CCDC115"
1059,1921,858,1575,1154,1280,1133,2260,"SAP130"
183,109,127,133,224,184,174,228,"BIN1"
1681,2502,1526,2429,1887,2197,1767,3943,"IMP4"
3400,5552,2888,4387,4108,4815,3547,6614,"HS6ST1"
2359,3976,1608,4416,2334,3117,2459,5261,"UGGT1"
323,441,235,486,406,365,314,780,"GYPC"
922,1501,690,1658,967,1252,1040,2116,"STAM"
0,0,0,0,0,0,0,0,"GAD2"
3012,5255,2608,5399,3426,3939,3193,6115,"ABI1"
6253,10334,4717,10294,6614,7800,6430,12715,"YME1L1"
1025,1581,807,1847,1159,1558,1148,2587,"DNAJC1"
666,1376,567,1427,770,961,645,1810,"NIPSNAP3A"
2406,3107,2347,3665,2560,3217,2592,4847,"LRRC8A"
905,1188,865,1298,1065,1185,950,1592,"CDK9"
2512,5985,2499,6093,2954,3652,2990,7393,"TXN"
3187,4647,2500,4896,3103,4459,3702,6476,"ODF2"
2711,5551,1801,6205,2470,3257,2836,7064,"ECPAS"
1738,1310,1229,1443,1812,1766,1345,1596,"TOR1B"
2281,3020,1997,3269,2348,2799,2399,4392,"C9orf78"
1106,2215,775,2396,1110,1580,1310,2774,"SMC2"
1050,371,796,284,930,731,884,372,"KLF4"
1149,1572,1038,1748,1242,1532,1269,2021,"TOR1A"
378,790,279,753,383,457,344,1032,"RALGPS1"
3818,8183,4205,8334,4348,5630,4357,9213,"NIBAN2"
0,0,0,0,0,0,0,0,"OR1J1"
0,0,0,0,0,0,0,0,"OR13C9"
1015,1241,970,1571,1128,1419,1178,2017,"ST6GALNAC4"
830,1361,755,1340,834,1288,1100,1274,"TMOD1"
3623,4987,3372,5236,4241,4533,3592,6064,"DAB2IP"
280,290,205,446,243,496,348,581,"STXBP1"
240,370,209,364,227,262,217,456,"SLC2A8"
104,69,144,75,84,110,173,135,"ANGPTL2"
1507,3396,1067,3066,1493,2056,1659,3865,"CDK5RAP2"
158,231,82,248,166,165,144,308,"ZFP37"
210,187,240,220,259,251,259,246,"SLC31A2"
1412,2186,1161,1926,1435,1617,1450,2436,"SLC31A1"
0,0,0,0,0,0,0,2,"TLR4"
824,1187,616,1372,863,1080,852,1587,"ZNF189"
1,0,1,1,2,3,3,1,"ALDOB"
1563,2498,1010,2495,1481,1712,1349,2916,"STX17"
1203,1668,958,1814,1310,1623,1391,2321,"PRPF4"
1752,3131,1690,2869,2205,2155,1830,3413,"FPGS"
1570,2176,1380,2027,1689,1867,1516,2625,"USP20"
3,0,0,0,4,0,4,5,"BAAT"
247,234,223,236,316,255,187,223,"KIF12"
2018,2882,1953,3219,2338,2650,2186,3750,"ATP6V1G1"
1206,2023,943,2055,1188,1510,1301,2837,"TEX10"
187,316,129,384,154,213,135,417,"GARNL3"
1052,1441,848,1756,1113,1353,1110,2346,"MRPL50"
1041,1380,989,1558,1083,1280,1014,1958,"DPM2"
18,13,6,16,12,12,11,9,"WDR38"
1008,1822,733,1818,1053,1347,1039,2275,"TSTD2"
213,328,114,250,230,234,181,323,"GABBR2"
0,0,0,0,0,1,0,0,"HEMGN"
2867,4488,2525,4969,3020,3577,3244,6550,"PSMB7"
14,18,8,7,14,9,6,6,"NR5A1"
197,391,173,372,221,254,191,504,"TRMO"
612,1109,600,1225,711,853,746,1578,"RABEPK"
529,1202,456,1017,584,674,573,1264,"GOLGA1"
180,339,149,366,220,237,183,420,"XPA"
2976,4655,2071,5552,2862,3810,3242,6686,"NCBP1"
7039,11423,6062,12339,7605,9275,7633,17247,"ANP32B"
0,0,0,0,0,0,1,1,"OR1L4"
481,951,373,918,494,759,581,1214,"PDCL"
4518,10807,4192,10542,4841,6114,5053,13548,"RPL35"
819,628,765,691,700,1078,1058,1051,"CTSV"
1178,1249,915,1502,1092,1572,1359,1981,"LMX1B"
1702,2605,1734,2685,1948,2238,1875,3400,"ARPC5L"
15,0,11,1,1,0,6,5,"ENPP2"
482,740,390,861,517,720,583,1266,"DSCC1"
2578,3811,2325,4345,2704,3396,2694,5697,"DERL1"
5252,9484,4332,8418,6106,6826,5631,16042,"MYC"
73,14,41,10,59,72,68,16,"CCN3"
4,5,3,8,7,10,4,4,"IL33"
530,967,539,1016,602,718,536,1304,"DMAC1"
510,726,399,780,459,588,481,932,"RANBP6"
832,1294,695,1288,677,1139,895,1716,"POLR1E"
767,1005,600,1131,822,955,786,1398,"PLAA"
176,309,148,274,229,224,160,301,"IL11RA"
1714,2455,1454,2882,1737,2236,1933,3501,"UBAP2"
681,982,590,1068,669,862,628,1348,"APTX"
1130,2032,812,2186,1130,1357,1152,2517,"RNF38"
5685,8114,4489,8846,5937,7586,6141,11065,"TLN1"
0,0,0,2,0,0,0,0,"CCL21"
0,0,1,0,0,0,0,0,"SIT1"
0,0,0,0,0,0,0,0,"IFNA21"
6,2,6,4,5,7,7,2,"DMRT1"
64,63,68,68,63,67,63,84,"DNAJB5"
10,33,16,16,22,23,14,42,"SPAG8"
613,1029,623,1076,703,821,668,1373,"DCTN3"
99,205,81,158,108,112,74,163,"CD72"
272,870,275,691,357,397,309,817,"TMEM8B"
920,1599,925,1706,1144,1319,1058,2250,"GRHPR"
647,1089,498,1115,637,938,750,1557,"ALDH1B1"
21,48,15,40,21,21,13,55,"HINT2"
437,768,393,526,489,649,545,789,"ARHGEF39"
12,15,6,25,18,12,20,22,"IGFBPL1"
432,861,338,1029,459,515,430,1040,"DENND4C"
6425,16639,5670,16050,6713,9321,7036,21421,"RPS6"
1306,1493,1151,1605,1305,1573,1194,2005,"CNPY3"
3089,3892,2976,4176,3701,4283,3436,5134,"FOXP4"
577,1008,493,1143,600,819,651,1550,"PPIL1"
482,803,438,850,587,666,433,1045,"KLC4"
557,1122,327,1289,455,656,560,1538,"KIF13A"
251,504,209,489,285,323,220,574,"ZSCAN9"
1075,3061,1013,2336,1348,1445,1218,3129,"PIM1"
254,220,163,237,255,193,176,243,"GMPR"
1197,1332,882,1229,1185,1239,983,1454,"CMTR1"
1523,2984,1291,2614,1668,1954,1681,3178,"TFAP2A"
0,0,0,2,0,0,0,0,"SLC22A7"
2060,2853,1841,3236,2337,2648,1946,3797,"YIPF3"
442,823,431,849,503,545,448,1041,"TMEM14B"
2187,3178,2133,3322,2460,2836,2274,4257,"TMEM63B"
70,142,73,96,120,79,62,112,"FRS3"
1446,2156,1522,2039,1765,1822,1504,2753,"TJAP1"
0,5,1,1,1,0,3,0,"CAPN11"
0,0,0,0,0,0,0,0,"TINAG"
0,0,1,0,1,0,0,0,"HCRTR2"
7,3,2,7,3,10,6,8,"KIAA0319"
7,3,2,1,3,7,9,8,"IRF4"
206,235,138,282,208,322,247,334,"SLC22A23"
562,820,454,998,616,749,722,1270,"TUBB2A"
762,1468,711,1551,836,939,822,1475,"LRRC1"
0,16,3,7,2,5,8,10,"GCM1"
7,2,3,4,7,14,14,3,"FOXF2"
560,1163,504,1025,654,700,647,1287,"BPHL"
798,1358,650,1616,885,1073,799,1669,"RIPK1"
1747,4095,1660,4454,1916,2780,2280,5802,"TUBB2B"
800,887,689,844,846,991,807,1216,"UQCC2"
6224,11320,5666,11869,6624,7566,6719,16379,"HMGA1"
109,255,98,188,142,118,158,257,"TCF19"
1137,1520,926,1904,1317,1674,1268,1950,"FLOT1"
35,40,43,34,53,30,48,62,"IER3"
453,687,349,685,440,586,515,976,"MDC1"
92,169,98,166,119,169,147,229,"PGBD1"
250,321,206,342,215,269,245,475,"ATAT1"
498,781,433,943,551,699,569,1128,"TPMT"
0,0,0,0,0,0,0,0,"CLPS"
1104,2348,833,2122,1466,1246,949,2111,"RNF144B"
35,57,34,55,40,41,29,60,"NRM"
3607,6959,3893,6581,4475,4965,4092,8632,"MTCH1"
0,0,0,0,0,0,0,0,"VARS2"
589,897,553,846,723,793,656,1250,"TAF8"
476,716,350,971,453,568,438,1174,"FAM8A1"
10,18,18,25,18,15,16,32,"C6orf52"
11,57,21,72,9,15,27,62,"FGFBP1"
2,4,2,2,3,1,0,3,"FGFBP2"
325,203,273,334,345,304,384,280,"CPEB2"
1154,1806,940,2067,1102,1500,1311,2747,"FHDC1"
498,369,371,449,663,512,467,417,"TLR2"
3,0,0,3,1,3,3,1,"MGARP"
0,1,0,0,2,0,0,1,"TTC29"
176,250,169,300,204,227,243,331,"MYO7A"
611,1112,444,896,608,686,620,1149,"FCHSD2"
675,1526,564,1609,786,1171,855,1837,"ARRB1"
0,0,1,1,3,2,0,0,"SLCO2B1"
759,1548,569,1544,802,937,861,1931,"THAP12"
112,165,116,205,111,193,135,234,"ANKRD42"
1007,1026,730,1128,779,959,948,1557,"IL18BP"
14776,28201,13135,26837,16973,20161,14170,34095,"NUMA1"
402,582,325,676,426,537,412,844,"CCDC90B"
102,208,95,220,157,212,111,206,"SYTL2"
162,241,164,302,203,221,179,305,"RAB30"
1819,2962,1497,3062,1891,2244,2045,3456,"CREBZF"
23,1,10,4,10,11,12,3,"LRRC32"
664,969,638,1108,810,903,633,1269,"PRCP"
347,535,263,619,332,457,351,799,"NARS2"
1069,1352,888,1329,1013,1205,1032,1693,"RNF121"
937,1532,783,1557,1013,1288,979,1973,"MRPL15"
755,296,367,448,636,588,593,655,"PI15"
7,31,14,13,5,9,7,26,"TTPA"
828,957,682,985,860,1128,812,1306,"GGH"
208,201,134,286,205,200,221,307,"SLCO5A1"
78,25,36,24,94,65,63,32,"SULF1"
581,939,420,949,588,673,561,1190,"TGS1"
1587,2822,1312,2978,1889,2227,1425,2917,"SDCBP"
126,248,92,244,156,172,144,340,"NEK1"
1418,395,563,288,1190,998,875,190,"DDX60"
0,0,0,0,0,0,1,0,"NXPE4"
363,382,283,463,329,396,319,329,"SORL1"
118,244,120,259,133,165,155,200,"TMPRSS4"
685,1228,544,1321,698,951,794,1560,"BUD13"
2,2,2,1,0,5,2,3,"TRPC6"
16575,12949,16361,17481,15279,16532,16314,14029,"MMP7"
41,44,26,129,39,48,61,83,"MMP20"
0,0,0,0,0,0,0,0,"MMP27"
86,126,84,201,116,114,105,242,"CFAP300"
1352,1551,1289,1914,1314,1600,1485,2469,"DCUN1D5"
4240,5716,3091,7358,4092,5681,4266,7841,"YAP1"
3509,4759,3505,5700,3474,4402,4100,5420,"TRIM29"
1017,1749,1135,1778,1289,1278,1020,2332,"SLC37A4"
0,0,0,0,0,0,0,0,"BTG4"
137,267,155,255,185,184,123,179,"POU2F3"
1934,2948,1303,3756,1623,2255,1981,3882,"RDX"
1103,1973,896,1919,1336,1346,1223,2320,"PPP2R1B"
493,745,413,875,481,638,477,954,"FDX1"
178,405,163,293,227,257,197,393,"C11orf1"
1392,1826,1285,2022,1417,1556,1398,2109,"FXYD6"
1,1,0,0,2,0,0,0,"ARHGAP20"
10,20,6,9,8,5,3,10,"FXYD2"
30,31,27,8,38,39,77,16,"MMP13"
2408,3508,2170,3639,2388,2822,2411,4301,"TMPRSS13"
793,615,511,643,727,735,581,660,"CASP1"
3,2,2,0,2,1,1,1,"CASP5"
251,383,196,483,232,303,252,552,"ALKBH8"
256,464,224,437,262,301,249,557,"MAP2K5"
0,0,1,0,0,0,0,0,"UNC13C"
329,626,318,587,390,428,384,610,"SQOR"
1053,2281,822,1997,1136,1216,1109,2254,"CTDSPL2"
2528,4263,1836,4314,2555,3268,2846,5720,"SLTM"
11713,21573,10102,30150,14011,19345,16377,50545,"THBS1"
516,935,510,911,589,700,534,1363,"MAPKBP1"
18,22,9,27,15,23,14,31,"NUSAP1"
299,379,268,418,313,368,261,537,"NDUFAF1"
1411,2316,1137,2319,1540,2050,1799,3264,"KIF23"
0,0,0,0,0,0,0,0,"AC027088.1"
33,11,29,13,27,30,44,20,"ITGA11"
521,853,346,878,473,703,648,1114,"KNL1"
689,1622,701,1558,913,970,780,1826,"HAUS2"
1322,2666,1181,2517,1389,1644,1408,3155,"RTF1"
1353,1660,1225,1676,1581,1586,1238,2004,"PARP6"
8307,16053,9116,15317,9314,11488,9274,22514,"RPLP1"
355,823,310,900,385,525,399,1066,"PAQR5"
150,123,96,123,181,199,154,167,"LRRC49"
940,1859,661,1901,818,1249,969,2353,"TUBGCP4"
931,1163,790,1252,952,1030,809,1464,"RMDN3"
21,11,22,13,14,27,24,19,"ITPKA"
658,1069,471,1305,730,979,662,1416,"UACA"
249,269,147,247,214,262,225,410,"SMAD6"
208,361,219,392,260,304,237,459,"PLCB2"
416,678,317,584,462,442,350,722,"TMEM62"
715,1356,691,1326,774,941,743,1544,"PAK6"
3708,4920,2590,6041,3762,4484,3844,6065,"ADAM10"
3176,3840,3068,4092,3894,3988,2958,4926,"DUOX1"
5,0,8,0,1,1,6,0,"SLC28A2"
17,11,12,7,23,18,11,7,"STRA6"
0,0,0,0,0,0,0,0,"CYP19A1"
272,452,180,490,271,328,260,576,"ZNF280D"
23,14,25,44,18,19,28,24,"SEMA6D"
47,39,31,33,46,52,48,55,"BCL2L10"
521,1129,505,1263,702,771,603,1600,"RSL24D1"
897,1073,849,1134,909,1040,970,1273,"SPTBN5"
52,98,39,113,48,89,64,105,"GCOM1"
65,113,69,125,74,89,97,86,"GCHFR"
249,508,239,726,267,452,349,874,"BCAR3"
306,654,291,903,369,578,456,878,"TTLL7"
2797,5447,1949,6936,2994,4121,3361,7911,"FNBP1L"
402,929,358,1084,585,581,522,1217,"KYAT3"
430,638,365,813,573,615,525,908,"GTF2B"
0,0,2,1,3,0,0,0,"BRDT"
1182,2094,1034,2034,1315,1576,1363,2528,"RABGGTB"
10647,2256,5052,1442,9897,7540,6477,1036,"IFI44L"
98,239,64,272,84,98,63,281,"GIPC2"
1608,4853,1025,5351,1642,3180,2162,6320,"ARHGAP29"
5887,2410,3202,1824,5347,4378,3894,1569,"IFI44"
0,1,0,0,0,1,0,2,"SLC44A5"
14,46,11,35,14,23,16,53,"RPL7P9"
0,0,2,1,0,1,1,2,"CLCA2"
2,1,0,0,0,0,0,0,"DNASE2B"
745,1256,544,1553,806,1133,820,2033,"DBT"
772,1287,624,1479,894,1072,969,1825,"RTCA"
1523,3313,1196,3017,1713,2163,1504,3271,"IFT172"
2227,3667,1811,4316,2285,2629,2477,5577,"SELENOI"
1448,2054,1291,2426,1402,1712,1391,3042,"CGREF1"
3555,5366,2832,5855,3615,4401,3464,7401,"HADHB"
146,242,133,277,179,222,168,354,"KHK"
3632,5633,2985,5592,4096,4428,3105,6982,"ADCY3"
443,732,360,783,533,593,482,903,"PPM1B"
2324,1831,1377,1953,2271,2136,1788,2440,"PNPT1"
196,411,171,374,213,214,152,470,"DYNC2LI1"
1,0,0,0,0,0,0,0,"LHCGR"
492,787,412,855,537,595,514,1104,"THUMPD2"
2207,688,706,1363,1813,2430,1480,927,"CYP1B1"
1,2,0,0,3,0,0,3,"SULT6B1"
3079,3530,2988,3999,3437,3738,3800,4845,"RAB1A"
4221,7803,3414,8387,4539,5937,4908,9641,"ACTR2"
2122,3318,1827,3338,2296,2697,2119,4346,"PREB"
17026,18896,15387,20023,20294,19460,16088,23935,"SLC5A6"
3,5,3,11,6,7,3,13,"ABCG5"
1456,2323,876,2855,1231,1886,1388,3396,"PREPL"
1,4,1,2,3,1,0,8,"SLC3A1"
33,24,12,23,34,43,32,34,"EMILIN1"
2324,3470,1918,3739,2378,2677,2297,4294,"FBXO11"
1121,1973,718,2129,1087,1533,971,2385,"SIX3"
1602,3181,1437,2911,1910,2030,1554,3665,"ATRAID"
1467,1822,1144,1934,1459,1812,1695,2520,"CENPO"
3944,6854,2971,7366,4042,4519,3924,9685,"LRPPRC"
22,20,15,24,40,33,29,26,"TRIM54"
1087,2464,974,2538,1259,1601,1190,2793,"DTNB"
1132,1737,996,1661,1181,1450,1202,2183,"ACTR1A"
0,0,0,0,0,0,0,0,"CYP2C9"
144,289,145,244,185,191,158,321,"MFSD13A"
1,4,4,4,0,1,2,1,"CYP2C8"
2417,5322,1507,5493,2058,3428,2647,6640,"MYOF"
70,239,99,110,156,102,35,89,"LOXL4"
20,41,22,33,25,38,25,64,"STAMBPL1"
24,4,16,2,28,20,19,11,"CH25H"
8,0,4,4,6,5,2,1,"LBX1"
39,8,37,13,24,25,45,28,"ATAD1"
11,13,9,7,8,11,8,6,"BTBD16"
690,1153,480,1101,674,967,773,1456,"KIF11"
8,7,5,4,3,10,7,11,"CUZD1"
3009,4480,2041,4559,2623,3871,3158,5506,"TACC2"
248,579,287,346,390,281,296,429,"DUSP5"
229,318,186,348,243,305,206,394,"CALHM2"
153,350,113,369,175,188,140,422,"ARL3"
833,1618,682,1466,831,1385,1152,1990,"CEP55"
421,572,253,718,330,535,523,895,"KIF20B"
1,10,5,6,3,2,2,10,"ENTPD1"
169,210,114,242,155,204,154,316,"EXOC6"
297,637,183,648,264,397,283,704,"PLCE1"
2,3,5,1,4,3,8,2,"RBP4"
698,820,485,959,661,783,671,1152,"DBR1"
755,1350,522,1528,770,908,756,1688,"DNAJC13"
193,660,191,715,208,332,229,565,"GPR87"
2318,4102,2169,4278,2868,3055,2569,5038,"ANXA7"
377,566,302,719,427,490,372,894,"FAM149B1"
509,844,419,796,530,606,543,994,"ASCC1"
0,0,0,0,1,0,0,0,"PLA2G12B"
6,5,10,10,7,6,7,9,"ZNF365"
0,0,0,1,0,1,2,0,"OIT3"
71,36,51,58,58,69,73,73,"ADAMTS14"
4387,10324,3992,10480,4664,6202,4959,14312,"RPS24"
206,1174,157,1138,226,251,229,1203,"TET1"
776,1200,487,1143,717,996,814,1453,"DNA2"
5,1,2,1,11,2,1,0,"MYPN"
11,17,11,15,19,10,18,20,"AOX1"
2432,4482,2038,4879,2660,3474,2805,6140,"ATIC"
707,1120,498,1223,766,962,717,1463,"SMARCAL1"
824,1721,567,1536,805,1038,784,1883,"BARD1"
3,3,4,2,7,2,3,8,"STAT4"
0,1,0,1,1,1,0,1,"MSTN"
99,128,62,180,102,132,87,200,"CARF"
284,571,240,526,300,315,320,696,"ASNSD1"
673,1260,602,1303,746,904,654,1583,"METTL5"
3613,4977,2445,5983,3606,4634,3761,7372,"SSB"
1428,2876,1076,3202,1598,1850,1487,3588,"NAB1"
1,0,3,0,0,1,3,6,"CDK15"
1981,3259,1552,3516,1821,2518,2055,4406,"PPIG"
661,1091,516,1286,687,903,760,1743,"FASTKD1"
13,27,6,27,26,31,22,33,"MDH1B"
94,125,59,222,61,114,120,148,"HECW2"
1416,5966,1364,6232,1774,2200,1478,7942,"IDH1"
2123,4073,1807,4585,2185,2967,2397,5564,"OLA1"
339,413,248,482,304,422,312,515,"CIR1"
1925,3616,1402,3872,1942,2503,1817,4174,"ITPRID2"
1,0,0,0,6,3,0,0,"CHRNA1"
405,702,263,762,367,481,405,935,"FAM117B"
930,1546,708,1670,953,1260,1037,2171,"WDR12"
884,2127,698,2241,916,1130,881,2563,"ABI2"
1681,2482,1051,3528,1522,2327,1916,3130,"ITGAV"
21,12,48,17,27,40,96,15,"SLC40A1"
389,654,373,641,457,597,489,905,"SLC35A5"
244,399,222,444,243,302,248,526,"SLC49A4"
274,667,164,709,261,431,282,821,"SENP7"
0,0,0,0,0,0,0,0,"GUCA1C"
0,0,0,0,0,0,0,0,"CCDC54"
190,328,168,373,194,260,219,492,"COX17"
2930,1087,1482,1061,2976,2688,2116,893,"PARP9"
114,215,101,220,108,193,128,296,"MNS1"
963,2380,708,2052,1080,1267,1042,2412,"USP8"
758,1677,455,1756,680,814,624,1532,"SECISBP2L"
1581,3368,1112,3118,1544,2129,1699,3371,"TMOD3"
931,1706,717,1657,986,1195,900,1928,"SPPL2A"
636,1198,458,1295,663,819,600,1406,"GLCE"
125,199,107,133,136,125,87,148,"SHF"
165,372,166,340,216,246,167,338,"APH1B"
846,1349,693,1397,802,1015,862,1841,"INTS14"
14,18,26,19,34,19,23,39,"CILP"
189,390,180,375,184,221,195,480,"PARP16"
246,367,235,307,273,310,248,419,"PPCDC"
17,7,14,13,26,13,18,2,"HCN4"
243,255,191,268,237,248,260,269,"SEMA7A"
507,754,483,774,662,712,575,1191,"UBL7"
19,8,24,6,31,19,20,13,"ARHGAP24"
1219,2184,965,2423,1452,1775,1255,2534,"FAM13A"
1,17,0,13,0,3,4,8,"HERC3"
3388,1241,1650,1054,3461,2333,2176,1073,"HERC6"
1250,436,542,390,945,874,798,415,"HERC5"
3,0,4,1,2,3,0,1,"PCDH10"
0,0,0,0,0,1,0,0,"NDST4"
377,501,274,592,360,479,353,690,"ZGRF1"
903,1698,727,1689,975,1230,925,2012,"AP1AR"
443,790,363,811,471,577,463,1007,"COPS4"
5785,9800,5553,9995,6705,7026,6331,13625,"HNRNPD"
0,0,1,0,0,0,0,0,"PRKG2"
507,433,343,422,631,526,342,460,"RASGEF1B"
2315,3908,1628,4410,2197,2888,2422,4834,"SEC31A"
0,0,1,0,0,0,0,0,"FGF5"
237,751,264,535,283,339,305,700,"GPAT3"
0,0,0,0,0,0,0,0,"IL21"
766,394,340,528,619,536,454,606,"FGF2"
401,714,252,822,378,575,442,979,"BBS7"
1111,2288,767,2510,1198,1665,1097,2667,"KIAA1109"
165,374,148,356,192,296,163,434,"BMPR1B"
729,1277,610,1436,834,1084,763,1776,"RAP1GDS1"
504,1220,408,1282,576,734,538,1632,"LARP1B"
1,17,0,0,0,0,0,3,"MMRN1"
122,275,100,409,154,225,123,372,"PDE5A"
98,300,67,235,107,118,84,275,"PRDM5"
6,0,4,6,3,8,4,5,"TRPC3"
409,743,406,705,493,630,444,890,"NAAA"
827,1565,656,1445,944,1047,879,1880,"NUP54"
23,14,6,1,21,13,15,3,"CXCL9"
451,819,333,988,487,667,548,1110,"BMP2K"
2907,4952,2225,5467,2879,3560,3000,6505,"G3BP2"
