"HBCx14_AC1","HBCx14_AC2","HBCx14_AC3","HBCx14_AC4","HBCx14_AC5","Symbol"
0,1,1,0,1,"UPP2"
0,2,0,3,0,"PRSS21"
767,872,1038,1172,1305,"MARK4"
3253,4111,5195,6431,5820,"PROM1"
1544,1725,2243,2489,2867,"CCDC124"
0,0,0,0,0,"CEACAM21"
1727,2442,3209,3514,3537,"PAFAH1B1"
5,9,8,4,11,"NOS2"
0,1,3,2,2,"DNAH9"
2532,3506,5096,5705,5098,"KIAA0100"
65,69,30,42,31,"SLC13A2"
27,42,58,81,68,"GAS7"
239,296,319,303,394,"TRAPPC6A"
639,858,899,968,1184,"MATK"
0,0,0,0,0,"CEACAM7"
32,52,37,63,81,"CD79B"
6,4,4,4,2,"SCN4A"
325,422,453,567,532,"ST7L"
0,0,0,0,0,"TKTL1"
72,69,115,60,85,"PAX6"
429,536,712,738,867,"RPUSD1"
2040,2374,2496,2727,2767,"RHBDF1"
512,828,936,1056,1117,"LUC7L"
11,10,18,22,21,"CACNA2D2"
40,45,54,47,53,"BAIAP3"
744,898,1095,1206,1367,"TSR3"
614,733,868,867,1005,"PIGQ"
624,753,908,964,1099,"CRAMP1"
824,1036,1171,1267,1432,"TEAD3"
41,86,52,118,80,"SELE"
1707,2245,2743,3236,3492,"DNAJC11"
2,7,5,6,5,"FMO3"
329,391,466,486,470,"MYLIP"
0,0,0,0,0,"NOX1"
1452,1653,2257,2006,2660,"E2F2"
3871,4757,5295,6413,6928,"PSMB1"
8,9,11,22,18,"SYN1"
647,957,1060,1377,1211,"JARID2"
144,180,252,301,283,"CDKL5"
2,11,11,14,6,"CAMK1G"
62,89,74,90,115,"CDK11A"
2557,3294,3754,4322,4576,"NADK"
1,0,0,0,1,"TFAP2B"
0,0,0,0,0,"TFAP2D"
30,58,60,55,46,"DLEC1"
409,607,684,780,768,"CYTH3"
39,47,44,51,71,"ADAM22"
2330,2776,3101,3565,3920,"SYPL1"
1513,1617,2050,2493,2591,"CYB561"
449,690,938,1073,1019,"SPAG9"
328,457,675,713,707,"CELSR3"
19,32,40,32,34,"AASS"
1527,1771,2147,2283,2431,"PLEKHG6"
244,346,377,393,402,"SS18L2"
356,420,477,484,536,"MPND"
7252,8817,9710,11226,12259,"MGST1"
460,586,936,1088,1089,"CRY1"
1,0,7,2,2,"PGLYRP1"
8882,11259,12134,13431,14711,"NFIX"
1360,1923,2636,3187,3481,"ST3GAL1"
469,429,542,613,606,"MMP25"
2081,2552,3246,3845,4261,"IL32"
