"HBCx14_Carboplatin1","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","Symbol"
3627,3279,4905,4146,4167,"ADIPOR2"
9,8,9,8,8,"CDKL3"
1,1,1,1,0,"UPP2"
0,0,0,0,0,"PRSS21"
912,1097,1243,1291,1396,"MARK4"
4842,3925,7076,5927,4802,"PROM1"
1851,1986,2818,2427,2527,"CCDC124"
0,0,0,0,0,"CEACAM21"
2606,2699,3521,3425,3117,"PAFAH1B1"
9,3,15,9,6,"NOS2"
2,0,0,0,1,"DNAH9"
4218,3424,5012,4801,4178,"KIAA0100"
21,33,39,38,41,"SLC13A2"
45,33,59,52,50,"GAS7"
302,258,414,365,445,"TRAPPC6A"
901,714,1076,1132,1122,"MATK"
1,0,0,0,2,"CEACAM7"
31,40,54,48,36,"CD79B"
1,2,4,2,19,"SCN4A"
481,333,570,528,525,"ST7L"
0,0,0,0,1,"TKTL1"
66,85,93,124,112,"PAX6"
598,572,829,770,780,"RPUSD1"
2201,2030,2663,2879,3187,"RHBDF1"
826,810,1224,1102,1196,"LUC7L"
16,8,16,12,14,"CACNA2D2"
39,27,49,46,55,"BAIAP3"
912,875,1399,1281,1339,"TSR3"
852,740,1100,1039,1143,"PIGQ"
830,790,1127,984,995,"CRAMP1"
1034,1083,1527,1341,1339,"TEAD3"
93,41,140,91,29,"SELE"
2503,2256,3243,3337,2951,"DNAJC11"
4,3,7,2,8,"FMO3"
373,363,463,518,522,"MYLIP"
0,0,0,0,0,"NOX1"
2130,2229,3190,2806,3123,"E2F2"
5044,4715,6781,6947,7164,"PSMB1"
20,6,19,22,21,"SYN1"
908,967,1176,1219,1153,"JARID2"
264,179,340,258,232,"CDKL5"
14,10,18,11,6,"CAMK1G"
75,69,142,85,121,"CDK11A"
3619,3261,4816,4343,4564,"NADK"
3,1,2,4,1,"TFAP2B"
0,0,1,0,0,"TFAP2D"
60,33,59,66,55,"DLEC1"
637,491,893,686,614,"CYTH3"
58,26,61,60,49,"ADAM22"
3023,2782,3932,3564,3356,"SYPL1"
1968,1438,2611,2241,2292,"CYB561"
807,652,1006,862,827,"SPAG9"
589,440,791,636,577,"CELSR3"
19,18,31,38,16,"AASS"
1967,1499,2625,2431,2181,"PLEKHG6"
315,291,443,417,471,"SS18L2"
429,460,618,620,660,"MPND"
8927,7731,11567,11483,11573,"MGST1"
776,610,1004,810,793,"CRY1"
0,0,3,3,2,"PGLYRP1"
11803,12378,16048,16963,16896,"NFIX"
2349,1897,3871,2556,2032,"ST3GAL1"
468,505,543,563,606,"MMP25"
3192,2331,4657,3853,3327,"IL32"
3558,2856,4915,3925,4106,"PKD1"
602,542,945,614,619,"MAPK8IP2"
1884,1715,2452,2389,2419,"MED24"
314,252,469,364,359,"RHOBTB2"
716,628,881,768,852,"HEATR5B"
3007,2709,3806,3571,3567,"SEC62"
5047,5594,7147,6860,8730,"RPS20"
14641,14111,17814,20473,18551,"CSDE1"
2241,1807,3011,2675,2148,"UBE3C"
483,366,588,571,477,"REV3L"
0,1,0,0,1,"TENM1"
0,0,2,0,1,"PAX7"
2,5,3,3,2,"MASP2"
3,5,2,4,1,"IYD"
250,208,320,264,328,"FAM76A"
