"HBCx14_Carboplatin1","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","Symbol"
816,800,1013,1086,1017,"PDHB"
225,209,318,296,288,"PXK"
17,14,15,23,9,"H1-4"
1566,1281,1847,1769,1804,"PCMTD1"
246,311,395,350,354,"KCTD6"
356,381,567,515,463,"MPLKIP"
10,13,16,7,12,"ACOX2"
6504,6500,10619,8659,8439,"FAM107A"
536,576,715,726,645,"IRF2"
2,3,3,7,5,"MOBP"
3,3,1,4,3,"CX3CR1"
0,0,0,0,0,"PPDPFL"
1,0,3,0,1,"XIRP1"
1,1,1,1,0,"INSM2"
40,48,39,44,49,"DEGS2"
4,2,3,3,4,"SCN11A"
0,1,2,0,0,"LINC00917"
3718,3163,5229,4499,4313,"ARF4"
10318,9097,13902,13526,12629,"SEPTIN2"
96,152,162,174,182,"FILIP1L"
268,154,303,248,225,"MFSD2A"
1219,1146,1756,1510,1635,"DTYMK"
2145,1187,2845,2418,1761,"TAP1"
1689,1650,2224,2081,2308,"ING5"
1916,1747,2530,2266,2400,"ATG4B"
0,1,5,5,3,"BDKRB2"
550,315,743,626,473,"MLKL"
2,2,3,7,9,"CMAHP"
1404,1329,1876,1731,1554,"RFWD3"
1,2,0,2,3,"MTNR1A"
0,0,0,0,0,"KCNG4"
6,6,9,10,10,"RHOH"
7,12,11,7,10,"KLHL30"
523,420,608,573,526,"COG7"
450,436,600,581,482,"CDC40"
3577,2756,4896,3844,3750,"STIP1"
58,50,83,84,82,"SCNN1B"
2293,2726,3390,2690,3113,"HR"
0,0,0,0,0,"TXNDC2"
149,61,256,130,71,"RAB31"
1125,1127,1611,1618,1809,"REEP4"
77,62,89,83,84,"TNXB"
1,1,3,4,2,"LGI3"
0,0,0,0,1,"SFTPC"
1029,800,1522,1209,1267,"BMP1"
5768,6242,8202,7868,7697,"ATXN2L"
6,5,6,6,7,"PHYHIP"
7,16,28,14,15,"CCDC110"
878,663,1243,1052,879,"POLR3D"
1071,987,1452,1326,1373,"FEN1"
5,18,4,9,6,"CAVIN2"
74,33,97,80,56,"MTCL1"
6,6,6,5,10,"GBX2"
1,1,0,0,1,"HJV"
0,0,0,0,0,"SCGB1D1"
55,54,111,76,80,"HEXIM2"
1504,1199,2033,1699,1758,"FNTA"
2580,2182,3377,3397,3448,"SERINC2"
0,0,0,0,3,"MYL1"
277,243,394,405,366,"TRAPPC11"
202,240,187,283,284,"CHRM1"
1693,2080,2860,2442,4572,"COL3A1"
4,3,6,7,5,"GFRA2"
80,107,100,110,122,"ING2"
142,129,209,180,169,"CDKN2AIP"
213,250,291,285,254,"SNRNP48"
175,172,260,250,229,"TMEM223"
1335,994,1568,1542,1380,"SLC20A2"
0,0,0,0,0,"CRYGA"
0,0,3,0,2,"DYNLRB2"
714,713,990,939,933,"TMUB2"
0,0,0,0,0,"ADAM29"
7948,7202,11360,9750,8617,"STAT3"
337,278,445,398,395,"ZSWIM1"
1772,1141,2304,2154,1430,"ADAM9"
0,0,0,0,0,"ADAM18"
2,1,0,1,3,"GDNF"
0,0,0,0,0,"SPINT5P"
0,0,0,0,0,"MUCL3"
0,0,0,0,0,"WFDC13"
28,14,23,18,14,"AXIN2"
1694,1652,2451,2313,2369,"NDUFS5"
9,10,6,8,12,"VWA3B"
174,184,262,220,249,"ZNF30"
0,1,3,2,2,"UGT3A2"
3136,1910,3724,3317,2864,"LRATD2"
299,237,413,336,378,"LDLRAD4"
0,0,2,0,2,"KCTD19"
367,281,414,430,417,"SLC16A4"
17,5,15,7,11,"IL7R"
472,546,690,609,740,"TMEM208"
0,0,0,0,0,"LRP1B"
1,2,2,4,2,"WFDC12"
3607,4036,4348,4921,4267,"AHCYL1"
654,546,843,750,733,"DNAJC21"
217,234,318,321,287,"PKIG"
831,732,1166,975,981,"NPNT"
0,0,1,0,0,"LINC01620"
3,4,9,11,7,"CA7"
8,17,17,6,5,"FAM178B"
0,0,0,0,0,"TSPY2"
3661,3074,5362,4810,4287,"SEMA4C"
1018,930,1392,1122,1209,"CNNM3"
185,209,278,314,356,"GSTM4"
676,518,860,732,703,"TET2"
119,106,134,147,168,"CXXC4"
219,176,250,270,254,"TCTN2"
184,124,242,198,156,"SHOX2"
475,468,631,651,680,"PPIP5K1"
142,145,250,188,178,"TSPAN5"
239,153,297,232,275,"ABHD15"
974,741,1165,1026,1039,"ZBTB5"
36,29,42,40,47,"CHTF8"
146,160,238,231,170,"ADAL"
289,260,349,349,305,"LCMT2"
352,345,562,461,461,"SNTB2"
89,106,102,92,130,"IL12A"
836,627,939,889,834,"ZNF507"
269,250,366,392,362,"STX18"
44,47,57,70,51,"NSG1"
53,38,62,67,58,"ZBTB49"
2392,2249,3046,2952,2573,"GFM1"
0,0,0,0,0,"OR13J1"
1,0,0,1,0,"HTR1E"
0,0,0,0,0,"FSTL5"
21,10,19,15,9,"TPTE2P5"
452,402,613,569,593,"DDX19A"
12,13,16,10,18,"ATOH8"
0,0,0,0,0,"SOX14"
388,291,456,420,408,"ANKRD49"
1,0,0,0,0,"SFTPB"
1662,1643,2292,2247,2066,"USP39"
592,473,865,660,657,"TNIP2"
875,801,1129,1077,1172,"C2orf68"
134,133,187,143,143,"TMEM150A"
846,755,1090,1053,1158,"RNF181"
39,63,59,50,93,"VAMP5"
0,0,0,0,0,"BTNL3"
60,44,84,61,45,"LRRC28"
7601,7123,9785,9057,8540,"MAT2A"
83,74,92,99,91,"PLA2G4F"
86,120,168,141,229,"ENHO"
790,469,970,755,650,"ZNF608"
158,157,217,182,191,"SLC35G2"
493,371,574,584,526,"INPP5D"
950,859,1346,1136,1131,"LETM1"
0,0,0,0,0,"CTRB1"
0,0,0,0,0,"CTRB2"
1,1,0,0,1,"TRIM49"
348,362,413,485,562,"TMEM129"
359,254,503,415,380,"PPIC"
0,0,1,0,0,"SPRY3"
108,64,115,108,98,"CEP120"
6,4,4,6,4,"STXBP6"
0,0,0,0,0,"TM4SF20"
1500,1376,2126,1951,1848,"MFF"
1,0,0,3,0,"GRM5"
1752,1032,2061,2162,1524,"LGALS9"
0,0,0,0,0,"PMCHL1"
167,112,218,186,215,"JMJD7-PLA2G4B"
0,2,2,2,5,"OR7E102P"
64,62,80,61,78,"CPLX1"
818,665,1028,897,833,"PXDC1"
0,0,0,0,0,"SIGLEC7"
7,9,5,5,13,"NTSR2"
855,736,1132,1039,917,"E2F6"
1136,945,1389,1299,1253,"FEM1B"
211,178,228,255,236,"COMMD8"
453,389,634,558,583,"ATP5ME"
1763,1512,2353,2142,2146,"UQCRFS1"
9,1,3,5,3,"SLC49A3"
380,292,434,385,367,"COL4A3"
748,567,950,842,864,"MAP2K1"
708,1133,836,964,1399,"KLK7"
0,0,0,0,0,"PMCHL2"
12196,10702,15492,13988,13469,"HNRNPH1"
139,169,178,215,166,"IRS1"
3017,2664,3853,3681,3425,"MECP2"
0,0,0,0,0,"VCX3A"
1924,1753,2348,2373,2285,"UPF3A"
0,0,0,0,0,"ZBBX"
31,10,42,12,14,"ACTBL2"
82,93,96,132,115,"ROR2"
0,0,0,0,0,"Z99496.1"
5,4,4,3,10,"AR"
0,0,0,0,0,"DHRSX"
21,13,35,35,19,"VXN"
293,252,394,355,380,"HSPBAP1"
0,0,0,0,0,"ASMTL"
0,0,0,0,0,"SLC25A6"
456,461,673,591,607,"CHST14"
83,87,137,81,117,"PARM1"
516,355,719,599,508,"CSNK1G1"
114,120,186,178,173,"FAM110B"
0,0,0,0,0,"ARMC4"
117,85,119,108,91,"AFAP1L2"
714,621,1083,887,910,"ZNF354A"
823,942,1356,1169,1165,"ATF5"
859,872,1155,1162,1145,"UBE2V2"
0,0,0,0,0,"GOT1L1"
604,522,697,658,603,"ZBTB43"
0,0,0,0,0,"AL159987.1"
116,125,177,135,173,"CPT1C"
84,88,220,70,94,"PCSK9"
2705,2201,3472,3326,2959,"XPO6"
0,0,1,1,1,"GSG1L"
10,8,13,13,12,"MN1"
486,390,643,639,622,"APEX2"
297,243,381,375,362,"NSMCE1"
63,106,129,83,97,"CCDC126"
1,0,1,2,0,"IL13"
28,22,42,30,28,"NPIPB12"
0,0,0,0,0,"OR10G3"
12,9,18,16,8,"RAB3B"
0,0,0,0,0,"OR6F1"
1511,1464,2049,1776,1768,"CD2BP2"
23,26,22,21,34,"RSPO1"
331,250,416,368,359,"RGS14"
1466,1286,2000,1813,1858,"TBC1D10B"
2349,1944,3209,2687,2717,"LMAN2"
0,0,0,1,2,"GCSAML"
110,85,215,133,127,"RAB24"
4571,3983,6938,5831,5610,"PRELID1"
4507,3307,5680,5226,5186,"THBS3"
69,50,48,80,68,"CA5B"
960,930,1393,1198,1284,"SLC50A1"
3392,2238,4588,3324,2916,"EFNA1"
568,130,441,283,151,"CXCL10"
134,115,192,143,124,"NPIPB3"
229,184,288,252,227,"SH3TC2"
232,61,177,113,56,"CXCL11"
209,181,237,234,212,"ZRSR2"
2811,2465,3935,3495,3148,"NMD3"
12,17,28,24,17,"ADRB2"
0,0,0,0,0,"AL669983.1"
1375,1137,1825,1585,1510,"B3GALNT1"
1118,1062,1696,1456,1361,"GPRIN1"
0,0,0,0,0,"HSPB3"
90,131,122,189,128,"KCNAB1"
363,346,447,493,472,"MRPL1"
2,2,6,9,3,"SHE"
1,0,0,2,2,"NR0B1"
911,825,1322,1193,1014,"PGM2"
13,4,4,14,5,"STK32A"
0,0,0,0,0,"IL1RAPL1"
0,0,0,0,0,"P2RY12"
0,0,0,0,0,"C22orf15"
0,0,0,0,0,"GUSBP12"
1,1,1,5,3,"OR5AU1"
31,19,26,23,38,"MINAR1"
0,0,0,0,0,"PDILT"
0,0,0,1,0,"UMOD"
1,0,1,0,2,"GP2"
1068,809,1419,1092,1155,"SLC33A1"
240,192,302,268,248,"SNUPN"
55,60,76,60,75,"CRADD"
1619,1327,1866,1956,1586,"SIN3A"
168,194,255,224,192,"ARL13B"
0,0,0,0,0,"RNASE2"
0,0,0,0,0,"ELSPBP1"
0,0,0,0,0,"RNASE3"
2106,1740,2641,2408,2161,"PTK2"
4,3,8,4,3,"RSPH10B2"
50,38,78,55,38,"PTAFR"
1179,998,1369,1357,1281,"PTPN9"
0,1,0,1,0,"RNASE6"
19,34,21,24,35,"NPR1"
3,2,5,0,6,"KCNK9"
260,136,480,286,122,"CXCL8"
0,1,0,0,1,"SCN9A"
34,39,38,48,41,"RASSF6"
5552,2768,6907,4862,4435,"COL22A1"
1345,1081,1916,1538,1702,"SDC2"
0,0,0,0,0,"CD52"
654,577,841,824,739,"MMGT1"
0,0,0,0,0,"SPRR1B"
1,2,0,3,1,"SPRR1A"
0,0,0,0,0,"OR4K14"
0,0,0,0,0,"OR4K15"
437,361,640,496,515,"TM2D2"
16,19,19,23,16,"HTRA4"
475,391,641,669,555,"PLEKHA2"
5068,4066,7266,6006,4874,"CLIC4"
0,0,1,0,0,"SLC38A11"
67,45,73,64,84,"GPR183"
0,0,0,0,0,"CRCT1"
676,472,799,723,650,"CCDC8"
247,191,360,310,292,"METTL15"
0,0,0,1,1,"ZNF280A"
1162,989,1129,1215,1075,"MUC15"
0,0,0,0,0,"CT55"
1203,1484,1750,1933,1914,"ZEB2"
4,9,5,2,7,"GJB1"
5419,5510,7522,6455,6818,"PCBP1"
849,796,1263,1213,1235,"HINT1"
128,130,182,178,137,"DTWD2"
0,0,0,0,0,"VPREB1"
326,370,374,291,427,"CLIC3"
1334,1124,1913,1725,1869,"INO80E"
264,188,531,200,227,"BNC1"
301,234,405,288,276,"DFFB"
299,229,395,379,383,"NFU1"
1506,1103,1854,1760,1390,"ANTXR1"
0,0,0,0,0,"GKN1"
793,709,1185,1114,948,"CKAP2L"
324,291,414,380,376,"C15orf40"
248,232,334,315,296,"RAMAC"
1,2,0,0,1,"PROKR1"
163,114,270,216,196,"APLF"
9,8,8,8,5,"BOLA2B"
13,6,6,8,8,"RGPD8"
371,351,534,503,490,"HIC2"
637,485,782,668,669,"LUZP1"
616,462,887,582,609,"HEXD"
0,0,0,0,0,"BCRP6"
2,2,4,2,5,"BCRP2"
0,0,0,0,0,"DRD5"
2585,2378,4096,3839,3431,"BUB1"
46,23,64,51,54,"SPNS1"
1065,1052,1366,1224,1447,"LRRC45"
267,248,390,368,364,"CHRNA5"
0,0,0,0,0,"MT1B"
734,832,1052,866,1057,"CENPX"
1871,1769,2602,2191,2432,"AGPAT2"
788,785,1075,844,940,"ASPSCR1"
0,0,0,0,0,"GP9"
8095,8255,11653,9936,9926,"FASN"
5339,6816,6744,7291,7278,"CNBP"
0,0,0,0,0,"MT1E"
0,0,0,0,0,"ACTRT2"
3181,3449,4708,3933,4421,"DUS1L"
1046,1170,1522,1253,1440,"GPS1"
762,803,1022,881,1137,"RFNG"
671,731,902,767,897,"DCXR"
1408,1273,1884,1614,1673,"ZNF32"
38,48,43,69,68,"LDB2"
823,784,997,1127,1161,"RAC3"
1,7,5,4,6,"NRG4"
3273,2506,4274,3795,3142,"LIMS1"
0,5,0,4,1,"TMEM266"
0,2,1,1,1,"NLGN1"
154,159,198,194,187,"TAPT1"
0,0,0,0,0,"PRYP3"
2480,2240,3535,3014,2820,"UGP2"
0,2,0,2,0,"TAS2R1"
417,270,494,443,498,"LINGO1"
0,0,0,0,0,"PRY"
0,0,0,0,0,"RBMY1F"
0,0,0,0,0,"PRY2"
0,0,0,0,0,"RBMY1HP"
11121,10043,14713,13432,12922,"HNRNPF"
241,242,281,337,332,"BTD"
1122,929,1643,1377,1199,"CSGALNACT2"
0,8,5,2,3,"TACR3"
0,0,0,0,0,"GSX1"
0,0,0,0,0,"TSPY14P"
31,30,42,39,46,"PCDH7"
1015,533,1159,1070,829,"ROBO1"
0,0,0,0,0,"ONECUT1"
155,100,204,163,162,"AVEN"
1,1,4,4,2,"P2RY1"
8,13,16,15,14,"CTNND2"
3519,2179,4417,3271,2573,"TRIM56"
2,0,0,0,1,"MUC17"
0,0,0,0,0,"AHSP"
98,48,82,62,55,"WNT10B"
130,80,125,157,175,"CALML6"
174,111,186,193,165,"REPS2"
78,32,109,83,73,"MUC3A"
883,899,1241,1229,1148,"SYAP1"
234,168,309,290,228,"ITGAM"
0,1,0,0,0,"PYDC1"
320,238,523,366,317,"TPST1"
6,15,7,23,25,"TM4SF4"
2122,1784,2934,2544,2637,"TOR1AIP2"
0,0,0,0,0,"S100G"
52768,41823,65357,60641,62591,"TM4SF1"
428,359,533,490,484,"OTUD3"
1,3,11,10,4,"OTUD7A"
1286,1307,1646,1499,1727,"GUSB"
2861,2713,3901,3701,3387,"BRD3"
131,76,132,157,91,"KLF13"
1,0,1,1,1,"FRMPD4"
22,22,20,11,26,"ZFPM2"
207,176,256,278,264,"ZNF764"
0,0,0,0,0,"HSFY2"
83,82,96,105,98,"ZNF747"
588,477,789,785,648,"ZNF768"
62,82,78,57,106,"TAS1R3"
221,147,205,190,207,"TMEM42"
1026,887,1310,1298,1179,"MAP3K2"
799,906,1222,1054,1106,"PUSL1"
1897,2066,2722,2622,3014,"SF3B5"
265,238,346,312,306,"ZNF35"
17,11,16,28,13,"TIGD4"
3044,2146,4084,3645,2729,"IFFO2"
1421,1159,1931,1661,1703,"NLGN2"
205,168,203,302,237,"MYO7B"
6031,4593,8499,7006,6196,"CHD3"
428,333,575,528,376,"TMEM154"
2,1,6,1,2,"MYRIP"
1753,1001,2317,1813,1426,"ALCAM"
8347,7733,11904,10879,8855,"YWHAG"
2168,2252,3135,2975,3225,"UBE2E3"
1182,1066,1688,1567,1564,"CNTROB"
523,475,722,653,715,"TRAPPC1"
0,0,0,0,0,"ZPLD1"
141,99,180,210,211,"KCNAB3"
0,0,0,1,1,"SERPINA9"
2,2,2,0,1,"FAM153A"
50,31,68,55,48,"GPR37L1"
576,487,749,726,731,"SIMC1"
380,334,477,424,430,"TMEM192"
6,2,5,6,8,"AC106795.1"
0,0,3,2,2,"NSG2"
0,2,0,0,0,"SPDYE5"
0,0,0,0,0,"SERPINA6"
227,174,258,217,218,"ZNF778"
3,6,2,7,13,"NIPA1"
20,22,29,15,21,"FOXD4"
0,0,0,1,0,"GPR25"
1616,1391,2090,2051,1970,"UBE2E1"
12032,11738,15590,15231,14986,"HNRNPA3"
1278,1102,1553,1592,1286,"SIK2"
0,0,0,0,0,"AL391987.1"
190,92,276,214,171,"RNF150"
1,0,0,0,1,"CCDC144A"
23,13,35,12,26,"AL512625.1"
0,1,0,0,0,"VGLL2"
18,27,21,39,14,"HOXD4"
131,122,142,164,165,"CHRNB1"
0,0,4,2,1,"HOXD12"
0,0,0,0,0,"GYPA"
506,397,681,628,520,"USP38"
276,303,360,354,354,"SLC16A5"
335,288,459,393,397,"NANP"
25,20,60,29,24,"ANKK1"
14,6,29,14,12,"ADRA1B"
42,38,64,41,55,"ADPRM"
16,18,17,28,10,"FABP6"
480,404,673,637,522,"PWWP2A"
4,5,4,4,5,"USP50"
1600,1337,2051,2021,1866,"USP47"
1810,1546,2325,2172,2015,"PDCD6IP"
0,0,0,0,0,"MRGPRX1"
482,444,593,587,568,"ZNF212"
0,2,2,1,0,"MRAP"
297,290,362,417,335,"FAM161A"
1109,1147,1508,1478,1371,"ZNF282"
769,656,1010,918,877,"GLB1"
52,45,55,62,60,"GON7"
329,315,380,412,397,"FAXDC2"
1159,990,1456,1318,1461,"CRTAP"
8,4,4,3,14,"HSPB2"
0,0,0,0,0,"C7orf33"
1,0,0,0,0,"CNGB3"
0,0,0,0,0,"SLN"
449,421,640,539,592,"ELP5"
198,164,260,241,220,"CMTM8"
200,243,210,216,194,"GABARAP"
1,1,1,2,4,"LGALS9B"
197,157,270,252,279,"STX8"
4979,4603,7737,6625,6776,"CDK1"
8778,7970,12562,10931,11516,"UBB"
1072,914,1326,1255,1167,"NFRKB"
0,0,0,0,0,"FABP4"
2,0,1,0,0,"FRMPD2"
421,373,617,470,431,"PRDM10"
1139,966,1542,1364,1356,"B3GNT2"
165,267,229,210,263,"FOS"
4594,3483,5600,4942,4641,"TMED10"
37,37,42,40,40,"OR2A20P"
351,270,502,442,445,"SETMAR"
750,593,1055,915,819,"SMAD1"
0,0,0,0,0,"CST5"
0,0,0,0,0,"CST2"
1,10,10,18,9,"EMX2"
0,0,0,0,0,"CST1"
0,0,1,0,2,"SP7"
443,312,507,450,381,"TCAF2"
370,291,491,482,364,"SEMA3E"
962,645,1136,1046,1022,"LRRN2"
509,503,638,584,521,"SLC30A1"
180,280,276,305,299,"DCLK2"
0,0,0,0,0,"ZNF804A"
0,0,1,1,0,"AC091390.1"
64,73,119,66,87,"GPRC5C"
230,224,337,355,310,"TMEM182"
0,0,0,0,0,"VSTM2A"
12889,11970,17148,16845,16494,"KRT8"
3,6,8,4,13,"KRT78"
688,420,892,624,653,"ADORA2B"
2,0,4,3,0,"SDR9C7"
335,254,395,346,445,"MGMT"
62,49,68,79,57,"METTL7B"
117,86,146,133,159,"KRT86"
1125,1033,1548,1377,1410,"HARS1"
667,546,783,740,737,"NFXL1"
55,23,56,43,41,"KRT75"
78,82,87,124,79,"DENND5B"
388,235,480,357,285,"CD14"
73,59,76,97,77,"DNAJC18"
9,3,4,1,1,"KRT6C"
397,317,569,512,429,"RIOX1"
25,28,33,38,36,"SPATA24"
1520,1237,1809,1761,1652,"RALGAPB"
274,271,375,318,374,"PYM1"
0,1,4,0,0,"MZB1"
83,139,133,106,182,"KRT4"
3,4,3,1,2,"SLC23A1"
4,6,5,12,10,"KRT74"
662,315,1074,467,351,"NPAS2"
0,1,2,2,0,"KRT72"
3,5,8,5,17,"KISS1"
86,109,82,79,124,"LONRF2"
347,244,466,372,394,"NUDT9"
1,0,1,0,1,"HSD17B13"
2346,2329,3071,3174,3054,"PA2G4"
0,0,0,0,0,"COX7B2"
1325,1202,1470,1521,1604,"ELOVL6"
55,68,50,70,123,"KRT83"
1039,1078,1364,1210,1218,"PFKFB3"
100,65,111,83,86,"TMC7"
4995,4465,7245,5792,6549,"ARL6IP1"
398,248,576,423,371,"SERPINB9"
799,719,1048,1024,1044,"SMAGP"
4,1,4,4,4,"IRX1"
14,75,35,30,24,"CDH2"
174,194,249,206,210,"IRX2"
274,198,343,339,248,"EMB"
669,615,997,817,944,"SIX2"
20,33,8,46,47,"DLGAP1"
2964,1787,3578,2782,2009,"STAT2"
456,404,585,526,520,"NUDCD2"
499,497,747,668,744,"IRF2BP1"
0,0,0,0,0,"OR9K2"
1471,1241,1962,1765,1617,"HSPA4"
14,2,11,5,11,"FOXA3"
0,0,0,0,0,"FAM71B"
2,4,1,2,0,"SLC26A5"
264,252,381,350,297,"COMMD5"
13,46,19,24,20,"SGCD"
0,0,1,0,0,"GTSF1"
163,125,222,179,183,"DPY19L2P2"
139,134,181,165,142,"ZNF16"
807,697,1144,979,963,"ARMC10"
838,761,1115,1079,1012,"RNF34"
207,205,295,280,260,"ACYP2"
1374,1366,2113,1730,2015,"TRABD"
1070,835,1426,1283,1043,"ATF7"
11,17,23,15,31,"RASA4B"
614,558,811,683,629,"SOCS6"
41,34,49,56,53,"CAVIN4"
0,0,0,0,0,"OR10A3"
154,152,249,203,197,"ZNF296"
0,0,0,0,0,"OR5E1P"
9,6,9,11,10,"HOXB9"
2,0,0,2,0,"TTLL6"
1001,904,1555,1353,1285,"POLH"
1,0,0,0,0,"SYT9"
685,425,1169,730,624,"KCNS3"
1,1,0,1,3,"RBMXL2"
6352,4920,7826,7954,6632,"KIF5B"
95,100,166,123,126,"GPR37"
2241,1373,2724,2105,1892,"AKAP13"
0,0,1,0,1,"TPD52L3"
1005,895,1433,1213,1288,"CDCA4"
0,0,0,0,0,"OR10A4"
5,5,11,0,4,"SDR16C5"
4,2,5,1,3,"DYDC1"
0,0,1,0,0,"OR10A2"
234,203,268,271,227,"CHCHD7"
5,2,11,3,6,"HTRA3"
427,329,511,492,409,"FOXN2"
0,0,0,0,4,"LMOD2"
1,0,7,4,1,"BFSP2"
0,0,0,0,0,"FSHR"
121,132,227,155,179,"CELP"
1280,964,1526,1398,1146,"USP32"
22,11,19,14,15,"CEL"
626,627,835,695,751,"PPM1D"
11,7,9,10,20,"GPR27"
212,198,257,275,293,"AC093323.1"
0,0,0,0,0,"PSG6"
533,530,793,723,661,"KBTBD2"
1133,792,1455,1216,1037,"RIOX2"
405,435,573,476,531,"TRIAP1"
0,0,0,0,0,"LILRP2"
683,677,975,928,958,"LSM3"
294,226,343,364,302,"KIAA0232"
1002,735,1360,1143,1076,"MTSS1"
1810,1360,2410,1900,1910,"TMEM43"
742,726,1017,974,890,"RNF139"
3770,4174,5448,5135,6280,"RPS9"
1,2,1,2,3,"PLA2G1B"
0,0,0,0,0,"CYTL1"
427,415,595,555,639,"TSEN34"
1,2,3,3,2,"TRH"
326,296,384,496,446,"GSTA4"
593,530,741,720,658,"MSANTD4"
292,284,407,383,462,"NDUFA3"
4,0,0,1,2,"OSCAR"
149,119,232,132,142,"PAQR8"
88,73,121,86,124,"NUDT6"
2256,1812,2864,2494,2438,"TPT1-AS1"
0,0,0,0,0,"OR7G3"
693,380,882,748,562,"TANC2"
0,0,0,0,0,"OR7G2"
0,0,0,0,0,"TEX13B"
2,5,1,4,4,"PKHD1"
0,0,2,2,2,"OR1M1"
1,0,0,0,0,"NCBP2L"
338,257,446,396,329,"DNAJC24"
0,0,0,0,0,"MBD3L1"
491,377,619,537,566,"ZNF160"
0,0,0,0,0,"PGK2"
0,0,0,0,0,"OR8B12"
207,165,283,273,261,"ZNF415"
76,35,118,60,57,"CAVIN3"
0,0,0,0,0,"CEACAM3"
5,5,2,3,3,"DCDC1"
5,2,9,2,8,"HAS2"
239,225,360,364,314,"PDGFD"
0,12,4,6,6,"PLAC1"
0,0,0,0,0,"DDI1"
0,0,0,0,0,"LINC00208"
21,33,34,32,38,"S1PR1"
309,223,351,331,292,"HS6ST2"
0,0,0,0,0,"OR4D5"
0,1,2,1,2,"PYGO1"
582,501,815,702,692,"LRRC8E"
0,4,1,3,23,"PKIA"
80,48,85,83,61,"XKR6"
293,212,343,383,325,"TSNARE1"
0,0,0,0,1,"FPR2"
0,0,0,0,0,"FPR1"
0,0,0,0,0,"PATE1"
0,0,0,0,0,"OR13H1"
809,684,1099,1077,1000,"FEZ2"
28,20,48,18,32,"SOX7"
0,0,0,0,0,"C8orf74"
944,803,1259,1177,1170,"C11orf24"
42,44,63,41,60,"FAM86JP"
3,9,2,5,5,"ALK"
8,5,6,9,8,"KYAT1"
633,578,896,816,734,"MTM1"
0,0,0,0,0,"SIGLEC17P"
160,179,307,208,334,"OBP2B"
731,535,999,865,814,"TRMT61B"
4740,3088,6297,4496,4143,"INSR"
1704,1567,2074,2217,1969,"MFN1"
1,2,1,3,2,"GIMAP8"
7,2,8,3,2,"HSFX1"
118,94,124,134,194,"NRTN"
251,189,266,233,233,"KCNMB3"
333,217,524,341,282,"FUT3"
54,49,63,55,71,"KCNG3"
880,898,1272,1213,1344,"ATP6V0E2"
160,118,221,158,128,"PRKCE"
0,0,0,0,1,"OR2K2"
640,498,835,759,687,"JAGN1"
1,0,0,0,0,"RLN3"
1351,1191,1825,1751,1520,"TADA3"
552,429,836,579,561,"SOCS5"
461,383,597,572,599,"C1GALT1C1"
1528,1510,2123,1883,2035,"C9orf16"
71,49,81,85,86,"MORN4"
454,358,615,484,538,"ZNF672"
1649,1299,2242,1916,2146,"ZNF692"
464,428,658,639,569,"NAIF1"
64,56,102,96,75,"RBKS"
0,0,0,0,0,"OR2M4"
0,1,0,0,0,"GRIK1"
0,0,0,0,0,"MUC7"
0,0,0,0,0,"OPRPN"
0,0,0,0,0,"SMR3B"
152,129,218,230,170,"TMEM126A"
465,396,640,541,558,"TMEM126B"
1015,929,1379,1259,1235,"TRIM8"
1355,1074,2025,1635,1563,"NETO2"
22,7,28,24,14,"CSN3"
0,0,0,0,0,"CLDN20"
2282,2231,3107,2870,3139,"CDC42BPG"
390,401,577,533,612,"SCAND1"
3321,2822,5183,3746,3635,"JUNB"
264,271,332,291,344,"FAM241B"
7,8,8,7,5,"TMEM37"
23,33,35,34,28,"UGT2B7"
298,157,616,283,194,"LRG1"
566,565,857,749,751,"SHCBP1"
300,284,327,347,398,"SOSTDC1"
7,12,16,18,15,"NPTX1"
364,327,510,480,437,"FAM98B"
523,442,692,628,651,"ZNF439"
891,742,1282,1009,1129,"ZNF440"
2360,1989,3083,2593,2717,"GAA"
1807,1397,2645,1740,1677,"CANT1"
109,746,96,186,151,"KCNK3"
383,376,560,453,503,"ZDHHC16"
82,26,96,43,41,"CHST11"
166,183,250,214,222,"EXOSC1"
551,494,723,715,708,"PGAM1"
1092,844,1350,1297,1105,"CHD7"
328,330,505,508,456,"ESCO2"
18880,19121,24896,24275,27252,"KRT19"
1315,1337,1642,1497,1983,"KRT15"
33,13,38,59,38,"LURAP1"
0,0,0,2,0,"KRT38"
212,175,318,276,302,"CLCN5"
146,112,197,114,122,"TPPP"
0,0,2,2,1,"KCND3"
4,4,3,4,4,"APLN"
0,0,0,0,0,"KRTAP4-4"
10,9,13,14,12,"KRT13"
0,0,0,0,0,"XAGE3"
26,30,27,23,27,"KRT9"
0,0,0,0,0,"XAGE5"
32,27,43,38,44,"PDE7B"
564,533,804,656,688,"MRPL36"
249,241,329,296,346,"ZNF581"
163,121,171,175,184,"NAT1"
2,0,0,0,0,"KRT20"
1,1,2,3,0,"GLOD5"
60,51,67,85,81,"KSR2"
218,138,267,225,214,"ZNF524"
850,698,1035,1068,963,"MCC"
0,0,0,0,0,"KRT27"
365,331,507,454,387,"ZBTB26"
0,1,1,1,2,"CDK5R2"
2,1,3,3,2,"DSEL"
921,855,1331,1139,1137,"POLR1C"
2953,2357,3826,3391,2986,"ASXL1"
0,0,0,0,0,"OR1L6"
18,14,34,20,16,"DLK2"
