"HBCx14_Cisplatin1","HBCx14_Cisplatin2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","Symbol"
2,4,10,16,5,"CDKL3"
0,4,1,0,1,"UPP2"
0,0,0,0,0,"PRSS21"
852,819,1021,1193,999,"MARK4"
5593,4362,5948,7024,5407,"PROM1"
1911,1876,1917,2578,2246,"CCDC124"
0,0,0,0,1,"CEACAM21"
2708,2336,2839,3482,2890,"PAFAH1B1"
6,6,4,11,15,"NOS2"
4,2,1,0,0,"DNAH9"
4685,3147,3958,5572,4773,"KIAA0100"
21,51,82,50,24,"SLC13A2"
50,40,36,48,58,"GAS7"
252,265,325,375,266,"TRAPPC6A"
770,724,779,1036,851,"MATK"
0,0,0,0,0,"CEACAM7"
61,49,41,67,45,"CD79B"
3,1,3,2,0,"SCN4A"
448,362,509,613,467,"ST7L"
1,0,1,0,0,"TKTL1"
66,44,74,154,98,"PAX6"
631,611,669,773,643,"RPUSD1"
2245,2319,3010,3081,2164,"RHBDF1"
821,802,949,1026,893,"LUC7L"
18,10,17,21,13,"CACNA2D2"
41,52,51,55,37,"BAIAP3"
985,1122,1129,1211,1051,"TSR3"
801,803,951,960,763,"PIGQ"
900,781,972,1075,869,"CRAMP1"
1125,1134,1342,1510,1095,"TEAD3"
144,83,297,70,87,"SELE"
2483,2178,2762,2937,2638,"DNAJC11"
2,5,5,14,3,"FMO3"
425,369,461,479,385,"MYLIP"
0,0,0,0,0,"NOX1"
1674,1516,1585,2478,2268,"E2F2"
5041,4508,5671,6582,5902,"PSMB1"
16,11,21,21,10,"SYN1"
926,793,1032,1087,1046,"JARID2"
288,170,243,354,297,"CDKL5"
13,5,20,18,15,"CAMK1G"
67,72,90,109,75,"CDK11A"
3688,3496,4398,4697,3818,"NADK"
0,0,0,0,2,"TFAP2B"
0,0,0,0,1,"TFAP2D"
42,62,66,76,37,"DLEC1"
625,500,634,927,670,"CYTH3"
50,41,56,62,54,"ADAM22"
3140,2781,3433,4257,2945,"SYPL1"
2063,1859,2338,2799,2133,"CYB561"
921,675,828,1008,980,"SPAG9"
683,527,597,800,668,"CELSR3"
34,14,37,32,16,"AASS"
2211,1849,2565,2737,2070,"PLEKHG6"
314,307,347,425,327,"SS18L2"
386,373,448,552,462,"MPND"
9571,8824,10942,12976,10039,"MGST1"
668,521,747,1196,849,"CRY1"
0,0,2,3,3,"PGLYRP1"
11068,10707,12294,13827,12170,"NFIX"
2745,2054,2630,3082,2290,"ST3GAL1"
581,586,660,729,661,"MMP25"
3377,3117,3529,4061,3486,"IL32"
3459,3002,3316,4115,3401,"PKD1"
805,593,707,738,578,"MAPK8IP2"
1860,1671,2094,2203,1863,"MED24"
314,236,338,455,311,"RHOBTB2"
723,539,706,963,713,"HEATR5B"
3037,2632,3291,4076,3392,"SEC62"
4765,4615,5317,6757,5048,"RPS20"
12612,10904,14705,19733,17091,"CSDE1"
2208,1712,2305,2913,2214,"UBE3C"
471,348,508,694,525,"REV3L"
0,0,0,0,0,"TENM1"
0,0,1,1,0,"PAX7"
6,7,6,6,5,"MASP2"
7,6,3,2,2,"IYD"
254,225,267,325,252,"FAM76A"
46,23,13,30,43,"TRAF3IP3"
766,589,781,1128,745,"POMT2"
2477,1838,2627,3373,2550,"VTA1"
283,272,324,346,220,"MLXIPL"
5685,3314,4721,6622,5257,"BAZ1B"
1428,1412,1556,1592,1621,"RANBP9"
331,233,364,255,266,"ETV7"
361,269,337,532,459,"SPRTN"
2041,1623,2046,2804,2132,"EEF1AKNMT"
454,390,521,549,465,"DYRK4"
3880,3429,4188,4814,4205,"ZNF207"
2321,2215,2775,3096,2690,"UQCRC1"
525,412,509,661,530,"STARD3NL"
7672,7276,8410,10648,8217,"CD9"
4,0,2,0,0,"HHATL"
