"HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_chemonaive3","Symbol"
81,107,104,"DLEC1"
1322,1336,1651,"CYTH3"
50,49,96,"ADAM22"
5177,5147,6147,"SYPL1"
3270,3489,4262,"CYB561"
1347,1608,1788,"SPAG9"
1124,1012,1290,"CELSR3"
57,52,48,"AASS"
2898,3122,3375,"PLEKHG6"
485,539,642,"SS18L2"
675,741,949,"MPND"
14044,17299,20636,"MGST1"
1212,1568,1811,"CRY1"
0,0,1,"PGLYRP1"
18641,17893,23755,"NFIX"
2489,3090,2935,"ST3GAL1"
1258,1330,1703,"MMP25"
3562,4219,5191,"IL32"
4555,3971,5738,"PKD1"
867,545,782,"MAPK8IP2"
2566,2416,3305,"MED24"
359,382,488,"RHOBTB2"
1596,1592,2043,"HEATR5B"
4167,4948,5979,"SEC62"
10929,10200,14109,"RPS20"
27595,32748,39969,"CSDE1"
3894,3468,4748,"UBE3C"
1200,1309,1424,"REV3L"
0,0,0,"TENM1"
0,0,0,"PAX7"
15,3,19,"MASP2"
7,3,3,"IYD"
429,439,474,"FAM76A"
28,30,32,"TRAF3IP3"
1068,1138,1564,"POMT2"
4055,4403,5237,"VTA1"
778,631,961,"MLXIPL"
9184,9286,12110,"BAZ1B"
1737,1802,2336,"RANBP9"
139,149,127,"ETV7"
641,694,889,"SPRTN"
2708,2797,3887,"EEF1AKNMT"
793,796,1069,"DYRK4"
5955,6009,7206,"ZNF207"
4871,4582,6240,"UQCRC1"
733,879,1149,"STARD3NL"
11818,12862,16378,"CD9"
0,1,0,"HHATL"
13758,13056,18829,"NCAPD2"
29,55,93,"IFFO1"
20,24,18,"GIPR"
146,166,167,"PHF7"
49,36,22,"SEMA3G"
4392,4344,5566,"NISCH"
67,39,48,"STAB1"
2,3,0,"FUZ"
2,1,0,"SLC6A13"
393,384,387,"IDS"
14,8,6,"PRSS3"
522,694,804,"ZNF200"
46,37,25,"CD4"
385,335,340,"LRRC23"
35,19,36,"BTK"
512,459,596,"HFE"
3329,3573,4510,"SCMH1"
148,381,253,"FYN"
2009,2338,2442,"HIVEP2"
0,0,2,"FMO1"
2805,3028,3986,"ELOA"
2762,2831,3711,"LYPLA2"
633,658,752,"CLCN6"
1058,1764,2311,"MRC2"
0,0,0,"NME1-NME2"
35,18,12,"SLC6A7"
2981,2597,2844,"TSPAN9"
158,234,196,"BTBD7"
1192,1294,1581,"APBA3"
534,463,613,"MKS1"
1513,1604,1727,"ABHD5"
0,2,2,"ANOS1"
6123,5697,8902,"AKAP8L"
617,703,778,"MBTD1"
538,606,911,"UTP18"
1650,1575,1889,"RNF216"
2755,2674,3078,"TTC19"
15938,16348,22068,"PTBP1"
73,78,192,"DPF1"
6473,5910,6560,"SYT7"
1154,1091,1531,"LARS2"
2389,2460,3036,"PIK3C2A"
558,584,564,"PLAUR"
3181,3043,4353,"ANLN"
7720,7499,9496,"WIZ"
3338,3353,4320,"RABGAP1"
1,1,1,"DCN"
397,402,540,"QPCTL"
1969,2088,2885,"PPP5C"
532,495,606,"CEP68"
2251,2442,2708,"MAP4K3"
0,1,0,"ZBTB32"
0,0,0,"TYROBP"
1453,1499,1990,"TMEM159"
586,590,614,"GABRA3"
639,716,845,"BRCA1"
1339,1218,1497,"ERCC1"
0,0,0,"CD22"
818,427,499,"SEMA3B"
470,453,562,"MBTPS2"
470,563,683,"PRICKLE3"
1011,192,121,"LTF"
4040,3990,4764,"EXTL3"
0,0,0,"NR1H4"
5302,6186,7636,"ELOVL5"
45,44,23,"ALOX5"
3,2,1,"KDM5D"
1532,1622,1838,"CALCOCO1"
320,308,425,"UBR7"
2553,2509,3029,"MAP4K5"
91,159,158,"EHD3"
1736,1817,2465,"PSMC4"
681,661,785,"MAN2B2"
0,0,0,"SLC7A14"
53,61,37,"CLDN11"
5967,6261,8373,"SLC25A39"
1344,1681,1598,"MVP"
1728,1638,2042,"NUB1"
1474,1891,1895,"PGM3"
103,121,119,"RWDD2A"
2060,2252,2662,"CLK1"
663,695,778,"POLR3B"
912,1089,1212,"ANGEL1"
984,1137,1337,"RNF14"
2283,1902,2052,"DNASE1L1"
2979,3123,4509,"DDX11"
1685,1792,2375,"HEBP1"
10989,8702,6152,"GPRC5A"
1281,1545,1620,"MAMLD1"
323,344,315,"CD6"
1835,1815,2406,"TACC3"
1160,1274,1310,"UFL1"
119,116,120,"POLA2"
535,593,705,"ZC3H3"
11174,11095,13848,"CAPN1"
35,51,38,"ACP3"
3508,3560,4646,"MDH1"
2123,2219,2854,"SLC30A9"
1442,1140,1443,"MTMR11"
458,343,431,"COX15"
3531,3779,4858,"CCDC88C"
899,969,1264,"YAF2"
67,186,255,"ZMYND11"
35,18,38,"WAS"
0,1,1,"DPEP1"
2148,2142,2796,"BID"
67,109,115,"MATR3"
20,17,19,"NPC1L1"
556,541,654,"XYLT2"
7,12,2,"RGPD5"
1,1,1,"STMN4"
2246,2241,2768,"NUDCD3"
1,0,0,"ISL1"
3121,2623,3668,"CHDH"
145,228,298,"IL20RA"
0,0,0,"CLCA1"
0,0,0,"CLCA4"
917,868,1103,"GLT8D1"
7274,8049,8883,"ATP2C1"
9,11,16,"IGF1"
56,37,258,"SLC38A5"
3214,3641,4575,"RALBP1"
1758,1917,2057,"RUFY3"
1,1,0,"CNTN1"
6,7,7,"SLC11A1"
9599,10034,11342,"WWTR1"
2070,2475,2901,"AGPS"
2,1,1,"ZNF806"
837,815,972,"CXorf56"
7,7,76,"ATP1A2"
854,1012,1264,"TTC27"
25,26,33,"ZNF582"
1,0,0,"VSIG2"
1677,1666,1889,"PHLDB1"
728,651,778,"MARCO"
20,12,28,"CYP24A1"
780,806,933,"PRDM11"
1,5,1,"SYT13"
0,0,0,"SNAI2"
6,0,7,"CD74"
3,5,6,"HGF"
2005,2140,2636,"ZRANB1"
2506,2698,3459,"NCDN"
231,225,384,"ADGRA2"
1,0,2,"CCT8L1P"
1438,1632,2031,"ZFP64"
374,416,557,"MNAT1"
816,1095,1106,"SAMD4A"
2397,2636,3033,"RUNX3"
1907,1717,2121,"MRE11"
1519,1357,1763,"PLEKHB1"
804,829,889,"SERPINB1"
0,1,1,"CYP3A43"
18,15,17,"SLC7A9"
1474,1622,1898,"SPAST"
1,0,0,"NRXN3"
1826,1861,2395,"OSBPL5"
856,899,1142,"AQR"
2,3,4,"CPS1"
0,0,0,"C8B"
80,52,170,"FHL1"
2597,2428,3267,"RTF2"
0,0,0,"GABRA1"
1502,1550,1899,"NLRP2"
681,763,944,"SLC45A4"
4453,4591,5578,"RNF10"
800,834,898,"ZNF839"
1175,1210,1349,"ZDHHC6"
115,97,103,"GRAMD1B"
2712,2627,3392,"RNH1"
4049,4366,5611,"NDUFS1"
1377,1771,2115,"RB1CC1"
2616,3369,3829,"ERP44"
1927,1718,2250,"ALAS1"
1273,1444,1612,"BIRC3"
1152,1257,1361,"AKAP11"
617,648,868,"GLRX2"
241,226,277,"SNAPC1"
2571,2753,3342,"DERA"
8172,8849,11624,"STRAP"
21,12,15,"ABCC2"
748,815,1026,"DEF6"
1166,1336,1715,"PLEKHO1"
1102,1292,1760,"GCLM"
1470,1833,2046,"UBR2"
686,641,773,"EHD2"
1966,1908,2947,"DEPDC1"
624,619,760,"CCDC28A"
1251,1165,1166,"RRAGD"
1105,1093,1378,"HSF2"
2239,2148,2815,"PHF20"
167,154,220,"HSD17B6"
365,311,453,"NR1H3"
1639,1379,1559,"TYMP"
2039,1923,2755,"NCAPH2"
2645,2705,3760,"TOMM34"
3844,4041,4715,"SEC63"
4129,4506,5556,"KPNA6"
87826,75969,90472,"VIM"
332,236,336,"RTEL1-TNFRSF6B"
346,376,453,"FAS"
1767,2008,2480,"RNASET2"
9217,12605,13696,"CD44"
1018,939,1414,"KCNG1"
1986,2513,2548,"AGPAT4"
2,0,2,"SLAMF7"
1065,1198,1249,"BTN3A1"
471,459,586,"MIPEP"
561,635,671,"PRKCH"
1,0,1,"INSRR"
2626,2851,3263,"IFNGR1"
962,958,1198,"B4GALT7"
220,217,251,"SH2D2A"
1336,1301,1410,"VRK2"
26,38,27,"TNFRSF1B"
2078,2256,2610,"VEZT"
258,244,284,"POU2F2"
2412,2674,2826,"BRD9"
3350,3387,3701,"SNX1"
894,924,1334,"TBPL1"
1819,2171,2620,"ARNTL2"
6077,7197,8440,"BCLAF1"
2572,2617,3224,"SLC39A9"
6,5,9,"ANK1"
0,0,0,"IBSP"
522,647,889,"TFB1M"
1906,2126,2525,"RABEP1"
7919,7830,10422,"HMGB3"
4148,4425,5836,"NUP160"
719,785,1125,"BAK1"
0,0,0,"MUSK"
919,936,1151,"IKZF2"
6628,5983,6567,"GRN"
1266,1479,1539,"FAM13B"
386,527,476,"ARHGAP31"
277,270,327,"CENPQ"
3111,3676,4539,"SARS1"
2992,2967,3914,"RANBP3"
465,635,721,"ARID4A"
988,1018,1274,"EIPR1"
3263,3618,4701,"PNPLA6"
434,410,520,"IFT88"
769,702,1029,"ALG1"
978,1160,1378,"ZCCHC8"
651,611,882,"ABCF2"
1696,1766,2146,"CHPF2"
2,0,2,"LRRC7"
279,242,328,"FUT8"
2223,2639,2876,"UBA6"
1097,1117,1325,"GAB2"
1464,1575,1892,"ATP6V0A1"
1029,1081,1252,"PIAS1"
1491,1647,1662,"SLC4A7"
1013,982,1383,"APBA2"
2106,2486,3131,"MAP2K3"
0,0,0,"EFCAB1"
43441,48180,54860,"TMSB10"
187,229,270,"ASTE1"
3062,3578,3592,"RNF19A"
1255,1249,1652,"PEX3"
1108,1104,1440,"GABARAPL2"
0,0,0,"MYOC"
4122,4299,4479,"SH3YL1"
2438,2493,3464,"FAM136A"
10920,12710,14057,"VCL"
0,0,0,"DEPDC1B"
1210,642,888,"DAPK2"
1177,1243,1592,"NSMAF"
4256,4466,5193,"ADSS2"
0,2,1,"STAP1"
2426,2760,3665,"TIMP2"
2847,2744,3046,"RFC1"
1623,1887,2205,"TBC1D23"
2132,2348,3140,"CUL3"
34,26,21,"MYOM2"
0,0,0,"OTC"
39,49,40,"CYP46A1"
2114,2254,2787,"AC118549.1"
0,0,0,"SLC18A1"
360,429,592,"USP2"
0,0,0,"CASR"
326,313,475,"TUBG2"
769,760,1118,"RPL26L1"
13,24,36,"FLT4"
5361,6629,7703,"NSUN2"
971,956,1230,"FBXO42"
595,714,856,"MFAP3"
1558,1487,1796,"MRI1"
314,341,443,"METTL1"
109,198,246,"HOXC8"
327,299,301,"AGA"
1180,1067,1170,"PI4K2B"
591,657,716,"BOD1L1"
909,1039,1219,"MAT2B"
0,0,2,"TLL1"
3733,3639,4552,"EDC4"
12993,14224,14615,"TRIO"
473,961,962,"VCAN"
1186,1260,1576,"CLEC16A"
0,3,0,"MSR1"
17187,17309,21232,"CDH1"
1241,1349,1712,"MTREX"
646,626,552,"DNAH5"
997,1291,1382,"ZFYVE16"
3510,3771,4432,"RIPOR1"
0,0,1,"C6"
1855,1901,2183,"RAI14"
12,25,22,"SOX30"
1636,1305,1816,"PNKP"
1,1,4,"BEST2"
577,829,860,"PHLPP2"
1114,1021,1345,"SPDL1"
683,635,748,"STAU2"
357,351,470,"SLC66A1"
317,352,512,"CTNS"
650,589,707,"RTN4R"
1045,1345,1568,"PHF23"
0,0,0,"CDH10"
1389,1349,1727,"INPP4A"
743,831,821,"RAB27B"
2894,2988,4277,"PSMA4"
80,70,80,"MYO16"
6823,7185,9251,"LSG1"
469,341,329,"PARP3"
