"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Sample","model","suffix","state","treatment","Cluster"
-36.3166349458138,1.07197123437835,11.0897069369015,4.79826012962041,3.2827721249256,4.88644323854136,-2.09299542833241,2.1180795983825,-3.64664658521611,1.52017835952524,1.24678097266129,2.15161375696023,1.43277601951831,2.34457244786548,0.0033062506415613,0.217398073976383,0.48169952654357,0.0254306824655213,-0.101183598600696,0.0336851127856731,0.0416824847789967,0.0565485696022845,0.0600608675788024,-4.54822266960013e-15,"HBCx10_AC1","HBCx10","AC","Persister","AC","1"
-23.900794607451,-1.60175086279954,-1.74005036548231,-3.12560351578747,-6.56637346668589,-1.80696634328873,-4.76014303432586,2.8403646690882,-1.0399605813288,-2.12073807203668,5.20151677128523,1.23564138426174,-0.900754000192298,-2.79499542552594,0.990149118239754,-0.364636618288403,1.3150281214164,0.493055269733992,0.264902694164158,-0.133238720554551,0.321982140881986,-0.288570998720797,0.309111756210896,1.00426871701381e-14,"HBCx10_AC2","HBCx10","AC","Persister","AC","1"
-29.1001028764748,2.16679467917288,-1.14637742248432,-2.99118158915809,-4.57904773071039,1.45769529640939,-1.26851869283898,-3.71109565645259,-4.6288046330461,-1.6304475239945,-5.23156442108435,-1.03291348486494,-3.55405819541395,0.740254610400446,0.142393109430864,0.0424449795449031,0.963761374235014,0.149567952583603,0.342559358979273,0.256469439675301,-0.0609990743104472,0.365302985653984,0.0151345602536752,7.59005950129629e-16,"HBCx10_AC3","HBCx10","AC","Persister","AC","1"
-33.5528743961962,1.81503032453326,9.08488704755995,5.72520910161027,-5.99867498578041,-5.97494037899778,4.40902025760295,-1.47537140546299,3.832152893043,-0.690516146976257,-0.333132661611022,-0.146568862973776,-0.741222217908885,0.0285155723553539,0.941762821383272,-0.126103885181843,-1.03220334435882,0.145464171845475,-0.451145814561398,0.16635859326672,0.132427734275381,-0.0162375083057265,-0.0367403988429487,-7.93691818349351e-15,"HBCx10_AC4","HBCx10","AC","Persister","AC","1"
-21.5355598212277,12.3864471898748,-0.0754924801009805,-2.60199375894237,0.843744600155501,5.93217278512883,-3.32266008481972,-2.74030581080041,4.88162994319272,-0.893751695365407,1.45550141006482,-3.6010350218942,0.895764992936426,-0.293941877962976,-0.209102644607467,0.199909785883896,-1.11602731484571,-0.135623518060458,0.101456073504046,-0.0268617065282838,-0.0622425695714172,-0.207028082506637,0.0942578840623316,8.19018050488191e-15,"HBCx10_AC5","HBCx10","AC","Persister","AC","1"
-32.6684192761061,-5.48641415456948,-2.17558100601674,-7.11571220414056,-2.94881597308462,-0.342102092183932,1.16787064449145,5.30638011301411,1.49181930431295,5.99856943907472,-2.66441608666639,-1.71743680631653,1.69158262789617,0.24503248360772,-0.104470176126974,0.504811068514212,-0.0652021217852715,-0.425816428851568,0.161951669699186,-0.0565155147737634,-0.0458137333233893,0.0736252862961971,0.0139239534727222,2.58168334366247e-15,"HBCx10_AC6","HBCx10","AC","Persister","AC","1"
-40.4946238166274,-7.03957856076838,-7.89422907409123,2.33780532824458,3.70932267975153,-3.76159534312137,1.581366685852,-2.5871293275551,-3.18058410892827,-1.6771435624477,3.01201811322192,-2.72074817248765,2.08477246841958,1.66457976405342,-1.38216800025957,0.0503839690827741,-0.830368804995244,-0.55710466065032,-0.182574403671133,-0.0506138567958275,-0.00795658413308855,0.0614753216372587,-0.0951981146937891,1.68809314250451e-14,"HBCx10_AC7","HBCx10","AC","Persister","AC","1"
-41.1120162202809,-2.41434540220288,-4.09172816574747,0.84131453474934,10.1431249116435,0.548033166383546,1.27383491743809,0.883235684328249,3.14133843432317,-1.37731831349665,-2.15056858416858,3.23345774474717,-2.03862405142957,-2.61670126679139,0.0924373188268395,-0.359696916876376,0.422634735464304,0.262282254750323,0.0492397868001038,-0.253823769924019,-0.015545291746171,-0.0776051499577684,-0.0778422799940551,8.44681188324112e-15,"HBCx10_AC8","HBCx10","AC","Persister","AC","1"
18.626319703691,0.215318858846259,1.77733138840339,2.47766416976582,1.81590033847434,-0.724947967586794,0.295244225793208,-3.00877766959371,0.0186548183668671,5.00733743494559,1.61319868870765,-1.60495508364076,-1.54029894739064,-2.03041641067165,-2.21965580745161,0.80165056041297,2.7579364209971,0.481398982211107,-1.5930915291774,0.16761729724674,1.13146387808132,0.710392762249652,0.273715078315072,1.52869534700306e-14,"HBCx10_AnthraRelapse1","HBCx10","Relapse","Relapse","AC","2"
21.0455546247911,-2.20351265919377,-3.31698866849481,10.3841594020708,-0.841106129619696,2.58108353454468,-0.0694424141036774,4.30630063737866,0.0973619608594141,-0.432113721807986,-0.725643040049235,-3.60094561906319,-1.16968788117285,-0.268146851557911,1.24990341057434,-2.48473878563645,0.557687810380164,0.15649069058948,0.413560827474659,-0.652074398021798,-0.675270490580204,0.70008594673265,-0.389645441556259,1.9708304943349e-14,"HBCx10_AnthraRelapse2","HBCx10","Relapse","Relapse","AC","2"
